2026-05-10T21:01:28+01:00 Task assigned to worker studiowin11 (4fcaf37b-6c2f-4959-809b-2f3ba7304111)
2026-05-10T21:01:28+01:00 task changed status queued -> active
going to run:

    'C:\Program Files\Blender Foundation\Blender 5.1\blender.exe' -b -y flamenco_attempt_1.blend --scene Scene --python-expr 'import bpy; r = bpy.context.scene.render; r.use_file_extension = True; r.use_overwrite = False; r.use_placeholder = False' --render-output 'C:/BlenderFarm/flamenco_attempt_1/2026-05-10_205727/######' --render-format OPEN_EXR_MULTILAYER --render-frame 7

pid=16836 > 00:00.266  blend            | Read blend: "C:\BlenderFarm\flamenco_attempt_1.blend"
pid=16836 > 00:00.453  render           | Rendering single frame
pid=16836 > 00:00.453  render           | Rendering frame 7
pid=16836 > 00:00.453  render           | Start rendering: Scene, ViewLayer
pid=16836 > 00:00.453  render           | Engine: Cycles
pid=16836 > 00:00.609  render           | Fra: 7 | Mem: 0M | Synchronizing object | Plane
pid=16836 > Blender 5.1.1 (hash b70da489d7f4 built 2026-04-14 01:37:22)
pid=16836 > Scene switch for render: 'Scene' in file: 'C:\BlenderFarm\flamenco_attempt_1.blend'
pid=16836 > 00:00.609  render           | Fra: 7 | Mem: 0M | Synchronizing object | Plane.001
pid=16836 > 00:00.609  render           | Fra: 7 | Mem: 0M | Synchronizing object | Cylinder
pid=16836 > 00:00.609  render           | Fra: 7 | Mem: 0M | Synchronizing object | Cylinder.004
pid=16836 > 00:00.625  render           | Fra: 7 | Mem: 0M | Synchronizing object | Cylinder.006
pid=16836 > 00:00.625  render           | Fra: 7 | Mem: 0M | Synchronizing object | BoeotianPlain
pid=16836 > 00:00.625  render           | Fra: 7 | Mem: 0M | Synchronizing object | AsopusRiver
pid=16836 > 00:00.625  render           | Fra: 7 | Mem: 0M | Synchronizing object | ParnithaRidge
pid=16836 > 00:00.625  render           | Fra: 7 | Mem: 0M | Synchronizing object | Cypress_00
pid=16836 > 00:00.625  render           | Fra: 7 | Mem: 0M | Synchronizing object | Cypress_01
pid=16836 > 00:00.625  render           | Fra: 7 | Mem: 0M | Synchronizing object | Cypress_02
