2026-05-11T16:52:27+01:00 Task assigned to worker studiowin11 (4fcaf37b-6c2f-4959-809b-2f3ba7304111)
2026-05-11T16:52:27+01:00 task changed status queued -> active
going to run:

    'C:\Program Files\Blender Foundation\Blender 5.1\blender.exe' -b -y flamenco_attempt_1.blend --scene Scene --python-expr 'import bpy; r = bpy.context.scene.render; r.use_file_extension = True; r.use_overwrite = False; r.use_placeholder = False' --render-output 'C:/BlenderFarm/flamenco_attempt_1/2026-05-10_205727/######' --render-format OPEN_EXR_MULTILAYER --render-frame 144

pid=45944 > 00:00.296  blend            | Read blend: "C:\BlenderFarm\flamenco_attempt_1.blend"
pid=45944 > 00:00.484  render           | Rendering single frame
pid=45944 > 00:00.484  render           | Rendering frame 144
pid=45944 > 00:00.484  render           | Start rendering: Scene, ViewLayer
pid=45944 > 00:00.484  render           | Engine: Cycles
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Plane
pid=45944 > Blender 5.1.1 (hash b70da489d7f4 built 2026-04-14 01:37:22)
pid=45944 > Scene switch for render: 'Scene' in file: 'C:\BlenderFarm\flamenco_attempt_1.blend'
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Plane.001
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Cylinder
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Cylinder.001
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Cylinder.003
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Cylinder.005
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Cylinder.007
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | BoeotianPlain
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | AsopusRiver
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | ParnithaRidge
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Cypress_00
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Cypress_02
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Cypress_04
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Cypress_05
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Cypress_09
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Cypress_10
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Cypress_12
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Cypress_13
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Olive_00_01
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Olive_00_03
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Olive_00_07
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Olive_00_08
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Olive_00_09
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Olive_01_00
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Olive_01_02
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Olive_01_07
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Olive_01_10
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Olive_01_13
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Olive_02_00
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Olive_02_01
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Olive_02_02
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Olive_02_04
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Olive_02_05
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Olive_03_01
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Olive_03_02
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Olive_03_04
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Olive_03_05
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Olive_03_06
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Olive_03_09
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Olive_03_10
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Olive_03_11
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Bldg_00_wall
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Bldg_00_roof
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Bldg_01_wall
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Bldg_01_roof
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Bldg_02_wall
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Bldg_03_wall
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Bldg_04_wall
pid=45944 > 00:00.656  render           | Fra: 144 | Mem: 0M | Synchronizing object | Bldg_05_roof
