2026-05-11T17:04:56+01:00 Task assigned to worker studiowin11 (4fcaf37b-6c2f-4959-809b-2f3ba7304111)
2026-05-11T17:04:56+01:00 task changed status queued -> active
going to run:

    'C:\Program Files\Blender Foundation\Blender 5.1\blender.exe' -b -y flamenco_attempt_1.blend --scene Scene --python-expr 'import bpy; r = bpy.context.scene.render; r.use_file_extension = True; r.use_overwrite = False; r.use_placeholder = False' --render-output 'C:/BlenderFarm/flamenco_attempt_1/2026-05-10_205727/######' --render-format OPEN_EXR_MULTILAYER --render-frame 159

pid=11728 > 00:00.282  blend            | Read blend: "C:\BlenderFarm\flamenco_attempt_1.blend"
pid=11728 > 00:00.469  render           | Rendering single frame
pid=11728 > 00:00.469  render           | Rendering frame 159
pid=11728 > 00:00.469  render           | Start rendering: Scene, ViewLayer
pid=11728 > 00:00.469  render           | Engine: Cycles
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | Plane
pid=11728 > Blender 5.1.1 (hash b70da489d7f4 built 2026-04-14 01:37:22)
pid=11728 > Scene switch for render: 'Scene' in file: 'C:\BlenderFarm\flamenco_attempt_1.blend'
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | Plane.001
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | Cylinder.001
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | Cylinder.003
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | Cylinder.004
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | Cylinder.008
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | BoeotianPlain
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | AsopusRiver
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | ParnithaRidge
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | Cypress_00
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | Cypress_01
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | Cypress_02
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | Cypress_03
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | Cypress_04
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | Cypress_05
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | Cypress_07
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | Cypress_08
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | Olive_00_02
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | Olive_00_05
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | Olive_01_04
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | Olive_01_06
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | Olive_01_09
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | Olive_01_11
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | Olive_01_12
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | Olive_02_01
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | Olive_02_02
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | Olive_02_03
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | Olive_02_04
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | Olive_02_05
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | Olive_02_06
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | Olive_03_00
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | Olive_03_01
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | Olive_03_02
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | Olive_03_03
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | Olive_03_05
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | Olive_03_07
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | Olive_03_08
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | Olive_03_09
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | Bldg_00_wall
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | Bldg_00_roof
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | Bldg_01_roof
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | Bldg_02_wall
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | Bldg_02_roof
pid=11728 > 00:00.641  render           | Fra: 159 | Mem: 0M | Synchronizing object | Bldg_03_wall
