2026-05-11T15:37:03+01:00 Task assigned to worker studiowin11 (4fcaf37b-6c2f-4959-809b-2f3ba7304111)
2026-05-11T15:37:03+01:00 task changed status queued -> active
going to run:

    'C:\Program Files\Blender Foundation\Blender 5.1\blender.exe' -b -y flamenco_attempt_1.blend --scene Scene --python-expr 'import bpy; r = bpy.context.scene.render; r.use_file_extension = True; r.use_overwrite = False; r.use_placeholder = False' --render-output 'C:/BlenderFarm/flamenco_attempt_1/2026-05-10_205727/######' --render-format OPEN_EXR_MULTILAYER --render-frame 44

pid=2628 > 00:00.296  blend            | Read blend: "C:\BlenderFarm\flamenco_attempt_1.blend"
pid=2628 > 00:00.484  render           | Rendering single frame
pid=2628 > 00:00.484  render           | Rendering frame 44
pid=2628 > 00:00.484  render           | Start rendering: Scene, ViewLayer
pid=2628 > 00:00.484  render           | Engine: Cycles
pid=2628 > 00:00.671  render           | Fra: 44 | Mem: 0M | Synchronizing object | Plane
pid=2628 > Blender 5.1.1 (hash b70da489d7f4 built 2026-04-14 01:37:22)
pid=2628 > Scene switch for render: 'Scene' in file: 'C:\BlenderFarm\flamenco_attempt_1.blend'
pid=2628 > 00:00.671  render           | Fra: 44 | Mem: 0M | Synchronizing object | Cube
pid=2628 > 00:00.671  render           | Fra: 44 | Mem: 0M | Synchronizing object | Cylinder
pid=2628 > 00:00.671  render           | Fra: 44 | Mem: 0M | Synchronizing object | Cylinder.001
pid=2628 > 00:00.671  render           | Fra: 44 | Mem: 0M | Synchronizing object | Cylinder.003
pid=2628 > 00:00.671  render           | Fra: 44 | Mem: 0M | Synchronizing object | Cylinder.006
pid=2628 > 00:00.671  render           | Fra: 44 | Mem: 0M | Synchronizing object | Cylinder.007
pid=2628 > 00:00.671  render           | Fra: 44 | Mem: 0M | Synchronizing object | Cylinder.008
pid=2628 > 00:00.671  render           | Fra: 44 | Mem: 0M | Synchronizing object | BoeotianPlain
pid=2628 > 00:00.671  render           | Fra: 44 | Mem: 0M | Synchronizing object | AsopusRiver
pid=2628 > 00:00.671  render           | Fra: 44 | Mem: 0M | Synchronizing object | ParnithaRidge
pid=2628 > 00:00.671  render           | Fra: 44 | Mem: 0M | Synchronizing object | Cypress_01
pid=2628 > 00:00.671  render           | Fra: 44 | Mem: 0M | Synchronizing object | Cypress_06
pid=2628 > 00:00.671  render           | Fra: 44 | Mem: 0M | Synchronizing object | Cypress_11
pid=2628 > 00:00.671  render           | Fra: 44 | Mem: 0M | Synchronizing object | Cypress_12
pid=2628 > 00:00.671  render           | Fra: 44 | Mem: 0M | Synchronizing object | Olive_00_01
pid=2628 > 00:00.671  render           | Fra: 44 | Mem: 0M | Synchronizing object | Olive_00_07
pid=2628 > 00:00.671  render           | Fra: 44 | Mem: 0M | Synchronizing object | Olive_01_01
pid=2628 > 00:00.671  render           | Fra: 44 | Mem: 0M | Synchronizing object | Olive_01_03
pid=2628 > 00:00.671  render           | Fra: 44 | Mem: 0M | Synchronizing object | Olive_01_06
pid=2628 > 00:00.671  render           | Fra: 44 | Mem: 0M | Synchronizing object | Olive_01_08
pid=2628 > 00:00.671  render           | Fra: 44 | Mem: 0M | Synchronizing object | Olive_01_09
pid=2628 > 00:00.671  render           | Fra: 44 | Mem: 0M | Synchronizing object | Olive_01_10
pid=2628 > 00:00.671  render           | Fra: 44 | Mem: 0M | Synchronizing object | Olive_01_11
pid=2628 > 00:00.671  render           | Fra: 44 | Mem: 0M | Synchronizing object | Olive_01_12
pid=2628 > 00:00.671  render           | Fra: 44 | Mem: 0M | Synchronizing object | Olive_02_01
