2026-05-11T16:15:23+01:00 Task assigned to worker studiowin11 (4fcaf37b-6c2f-4959-809b-2f3ba7304111)
2026-05-11T16:15:23+01:00 task changed status queued -> active
going to run:

    'C:\Program Files\Blender Foundation\Blender 5.1\blender.exe' -b -y flamenco_attempt_1.blend --scene Scene --python-expr 'import bpy; r = bpy.context.scene.render; r.use_file_extension = True; r.use_overwrite = False; r.use_placeholder = False' --render-output 'C:/BlenderFarm/flamenco_attempt_1/2026-05-10_205727/######' --render-format OPEN_EXR_MULTILAYER --render-frame 97

pid=19052 > 00:00.312  blend            | Read blend: "C:\BlenderFarm\flamenco_attempt_1.blend"
pid=19052 > 00:00.516  render           | Rendering single frame
pid=19052 > 00:00.516  render           | Rendering frame 97
pid=19052 > 00:00.516  render           | Start rendering: Scene, ViewLayer
pid=19052 > 00:00.516  render           | Engine: Cycles
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Plane
pid=19052 > Blender 5.1.1 (hash b70da489d7f4 built 2026-04-14 01:37:22)
pid=19052 > Scene switch for render: 'Scene' in file: 'C:\BlenderFarm\flamenco_attempt_1.blend'
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Cube.001
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Cylinder
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Cylinder.003
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Cylinder.004
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Cylinder.006
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Cylinder.007
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Cylinder.008
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | BoeotianPlain
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | AsopusRiver
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | ParnithaRidge
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Cypress_00
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Cypress_01
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Cypress_03
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Cypress_04
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Cypress_05
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Cypress_06
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Cypress_07
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Cypress_08
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Cypress_11
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Cypress_12
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Olive_00_04
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Olive_00_05
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Olive_00_07
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Olive_00_09
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Olive_01_01
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Olive_01_07
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Olive_01_11
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Olive_01_13
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Olive_02_00
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Olive_02_03
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Olive_02_04
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Olive_02_05
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Olive_02_06
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Olive_03_01
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Olive_03_03
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Olive_03_04
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Olive_03_05
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Olive_03_07
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Olive_03_08
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Olive_03_10
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Olive_03_11
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Bldg_00_wall
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Bldg_02_wall
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Bldg_02_roof
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Bldg_03_roof
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Bldg_04_wall
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Bldg_04_roof
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Bldg_06_roof
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Bldg_07_wall
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Bldg_07_roof
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Bldg_09_roof
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Bldg_10_wall
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Bldg_11_wall
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Bldg_11_roof
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Bldg_12_wall
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Bldg_12_roof
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Bldg_13_wall
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Bldg_13_roof
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Bldg_14_wall
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Bldg_14_roof
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Bldg_15_roof
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Bldg_16_wall
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Bldg_16_roof
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Bldg_17_roof
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Bldg_19_wall
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | BellTower
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | FuelDrum_00_0
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | FuelDrum_00_1
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | FuelDrum_01_0
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | FuelDrum_01_1
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | FuelDrum_03_0
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | FuelDrum_06_0
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | FuelDrum_07_0
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Sandbag_00_01
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Sandbag_00_02
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Sandbag_00_03
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Sandbag_01_02
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Sandbag_01_03
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Sandbag_02_00
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Sandbag_02_01
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Sandbag_02_04
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Hurricane_Fuselage
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Hurricane_Wing_-1
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Hurricane_Engine
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | WirePost_00
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Wire_01_0.7
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Wire_01_1.0
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | WirePost_02
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Wire_02_0.4
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Wire_02_0.7
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Wire_04_0.4
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Wire_04_0.7
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Wire_04_1.0
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | WirePost_05
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Wire_05_0.4
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Wire_05_0.7
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Wire_05_1.0
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | WirePost_06
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Wire_06_0.4
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Stuka_Engine
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Wire_06_0.7
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Wire_06_1.0
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Kubelwagen_2_body
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Trench_00
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | Tent_02
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | ShellCasing_01
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | ShellCasing_07
pid=19052 > 00:00.687  render           | Fra: 97 | Mem: 0M | Synchronizing object | ShellCasing_09
