2026-05-11T16:55:46+01:00 Task assigned to worker studiowin11 (4fcaf37b-6c2f-4959-809b-2f3ba7304111)
2026-05-11T16:55:46+01:00 task changed status queued -> active
going to run:

    'C:\Program Files\Blender Foundation\Blender 5.1\blender.exe' -b -y flamenco_attempt_1.blend --scene Scene --python-expr 'import bpy; r = bpy.context.scene.render; r.use_file_extension = True; r.use_overwrite = False; r.use_placeholder = False' --render-output 'C:/BlenderFarm/flamenco_attempt_1/2026-05-10_205727/######' --render-format OPEN_EXR_MULTILAYER --render-frame 148

pid=25664 > 00:00.297  blend            | Read blend: "C:\BlenderFarm\flamenco_attempt_1.blend"
pid=25664 > 00:00.484  render           | Rendering single frame
pid=25664 > 00:00.484  render           | Rendering frame 148
pid=25664 > 00:00.484  render           | Start rendering: Scene, ViewLayer
pid=25664 > 00:00.484  render           | Engine: Cycles
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Plane
pid=25664 > Blender 5.1.1 (hash b70da489d7f4 built 2026-04-14 01:37:22)
pid=25664 > Scene switch for render: 'Scene' in file: 'C:\BlenderFarm\flamenco_attempt_1.blend'
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Cube.001
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Cylinder.002
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Cylinder.004
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Cylinder.005
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Cylinder.006
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Cylinder.008
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | BoeotianPlain
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | AsopusRiver
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | ParnithaRidge
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Cypress_00
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Cypress_01
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Cypress_02
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Cypress_06
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Cypress_10
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Cypress_11
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Cypress_13
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Olive_00_02
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Olive_00_07
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Olive_01_03
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Olive_01_05
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Olive_01_06
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Olive_01_09
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Olive_01_12
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Olive_01_13
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Olive_02_01
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Olive_02_02
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Olive_02_03
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Olive_02_04
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Olive_02_06
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Olive_03_00
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Olive_03_01
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Olive_03_03
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Olive_03_06
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Olive_03_08
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Olive_03_09
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Olive_03_10
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Bldg_00_wall
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Bldg_00_roof
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Bldg_02_wall
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Bldg_02_roof
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Bldg_03_wall
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Bldg_03_roof
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Bldg_04_wall
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Bldg_05_wall
pid=25664 > 00:00.672  render           | Fra: 148 | Mem: 0M | Synchronizing object | Bldg_05_roof
