2026-05-11T15:15:29+01:00 Task assigned to worker studiowin11 (4fcaf37b-6c2f-4959-809b-2f3ba7304111)
2026-05-11T15:15:29+01:00 task changed status queued -> active
going to run:

    'C:\Program Files\Blender Foundation\Blender 5.1\blender.exe' -b -y flamenco_attempt_1.blend --scene Scene --python-expr 'import bpy; r = bpy.context.scene.render; r.use_file_extension = True; r.use_overwrite = False; r.use_placeholder = False' --render-output 'C:/BlenderFarm/flamenco_attempt_1/2026-05-10_205727/######' --render-format OPEN_EXR_MULTILAYER --render-frame 12

pid=41344 > 00:00.281  blend            | Read blend: "C:\BlenderFarm\flamenco_attempt_1.blend"
pid=41344 > 00:00.484  render           | Rendering single frame
pid=41344 > 00:00.484  render           | Rendering frame 12
pid=41344 > 00:00.484  render           | Start rendering: Scene, ViewLayer
pid=41344 > 00:00.484  render           | Engine: Cycles
pid=41344 > 00:00.672  render           | Fra: 12 | Mem: 0M | Synchronizing object | Plane
pid=41344 > Blender 5.1.1 (hash b70da489d7f4 built 2026-04-14 01:37:22)
pid=41344 > Scene switch for render: 'Scene' in file: 'C:\BlenderFarm\flamenco_attempt_1.blend'
pid=41344 > 00:00.672  render           | Fra: 12 | Mem: 0M | Synchronizing object | Plane.001
pid=41344 > 00:00.672  render           | Fra: 12 | Mem: 0M | Synchronizing object | Cylinder.001
pid=41344 > 00:00.672  render           | Fra: 12 | Mem: 0M | Synchronizing object | Cylinder.003
pid=41344 > 00:00.672  render           | Fra: 12 | Mem: 0M | Synchronizing object | Cylinder.007
pid=41344 > 00:00.672  render           | Fra: 12 | Mem: 0M | Synchronizing object | Cylinder.008
pid=41344 > 00:00.672  render           | Fra: 12 | Mem: 0M | Synchronizing object | BoeotianPlain
pid=41344 > 00:00.672  render           | Fra: 12 | Mem: 0M | Synchronizing object | AsopusRiver
pid=41344 > 00:00.672  render           | Fra: 12 | Mem: 0M | Synchronizing object | ParnithaRidge
pid=41344 > 00:00.672  render           | Fra: 12 | Mem: 0M | Synchronizing object | Cypress_00
pid=41344 > 00:00.672  render           | Fra: 12 | Mem: 0M | Synchronizing object | Cypress_02
pid=41344 > 00:00.672  render           | Fra: 12 | Mem: 0M | Synchronizing object | Cypress_03
pid=41344 > 00:00.672  render           | Fra: 12 | Mem: 0M | Synchronizing object | Cypress_06
pid=41344 > 00:00.672  render           | Fra: 12 | Mem: 0M | Synchronizing object | Cypress_09
