2026-05-11T17:24:55+01:00 Task assigned to worker studiowin11 (4fcaf37b-6c2f-4959-809b-2f3ba7304111)
2026-05-11T17:24:55+01:00 task changed status queued -> active
going to run:

    'C:\Program Files\Blender Foundation\Blender 5.1\blender.exe' -b -y flamenco_attempt_1.blend --scene Scene --python-expr 'import bpy; r = bpy.context.scene.render; r.use_file_extension = True; r.use_overwrite = False; r.use_placeholder = False' --render-output 'C:/BlenderFarm/flamenco_attempt_1/2026-05-10_205727/######' --render-format OPEN_EXR_MULTILAYER --render-frame 182

pid=664 > 00:00.297  blend            | Read blend: "C:\BlenderFarm\flamenco_attempt_1.blend"
pid=664 > 00:00.500  render           | Rendering single frame
pid=664 > 00:00.500  render           | Rendering frame 182
pid=664 > 00:00.500  render           | Start rendering: Scene, ViewLayer
pid=664 > 00:00.500  render           | Engine: Cycles
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Plane
pid=664 > Blender 5.1.1 (hash b70da489d7f4 built 2026-04-14 01:37:22)
pid=664 > Scene switch for render: 'Scene' in file: 'C:\BlenderFarm\flamenco_attempt_1.blend'
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Plane.001
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Cylinder
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Cylinder.003
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Cylinder.004
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Cylinder.007
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | BoeotianPlain
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | ParnithaRidge
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Cypress_00
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Cypress_01
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Cypress_02
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Cypress_03
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Cypress_04
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Cypress_05
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Cypress_06
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Cypress_07
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Cypress_08
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Cypress_09
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Olive_00_00
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Olive_00_04
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Olive_00_05
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Olive_01_01
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Olive_01_02
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Olive_01_06
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Olive_01_10
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Olive_01_13
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Olive_02_00
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Olive_02_03
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Olive_02_04
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Olive_03_01
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Olive_03_02
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Olive_03_04
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Olive_03_05
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Olive_03_06
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Olive_03_09
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Bldg_00_wall
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Bldg_00_roof
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Bldg_01_roof
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Bldg_03_wall
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Bldg_03_roof
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Bldg_04_wall
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Bldg_05_wall
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Bldg_05_roof
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Bldg_06_wall
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Bldg_06_roof
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Bldg_07_wall
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Bldg_08_wall
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Bldg_09_roof
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Bldg_10_wall
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Bldg_10_roof
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Bldg_11_roof
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Bldg_12_wall
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Bldg_13_wall
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Bldg_13_roof
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Bldg_14_wall
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Bldg_14_roof
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Bldg_15_wall
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Bldg_16_roof
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Bldg_18_wall
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Bldg_19_wall
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Church
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | BellTower
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | FuelDrum_00_0
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | FuelDrum_00_1
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | FuelDrum_01_0
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | FuelDrum_04_0
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | FuelDrum_07_0
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Sandbag_01_01
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Sandbag_01_03
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Sandbag_01_04
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Sandbag_02_01
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Sandbag_02_02
pid=664 > 00:00.688  render           | Fra: 182 | Mem: 0M | Synchronizing object | Sandbag_02_03
