2026-05-11T17:03:16+01:00 Task assigned to worker studiowin11 (4fcaf37b-6c2f-4959-809b-2f3ba7304111)
2026-05-11T17:03:16+01:00 task changed status queued -> active
going to run:

    'C:\Program Files\Blender Foundation\Blender 5.1\blender.exe' -b -y flamenco_attempt_1.blend --scene Scene --python-expr 'import bpy; r = bpy.context.scene.render; r.use_file_extension = True; r.use_overwrite = False; r.use_placeholder = False' --render-output 'C:/BlenderFarm/flamenco_attempt_1/2026-05-10_205727/######' --render-format OPEN_EXR_MULTILAYER --render-frame 157

pid=35464 > 00:00.297  blend            | Read blend: "C:\BlenderFarm\flamenco_attempt_1.blend"
pid=35464 > 00:00.500  render           | Rendering single frame
pid=35464 > 00:00.500  render           | Rendering frame 157
pid=35464 > 00:00.500  render           | Start rendering: Scene, ViewLayer
pid=35464 > 00:00.500  render           | Engine: Cycles
pid=35464 > 00:00.672  render           | Fra: 157 | Mem: 0M | Synchronizing object | Plane
pid=35464 > Blender 5.1.1 (hash b70da489d7f4 built 2026-04-14 01:37:22)
pid=35464 > Scene switch for render: 'Scene' in file: 'C:\BlenderFarm\flamenco_attempt_1.blend'
pid=35464 > 00:00.672  render           | Fra: 157 | Mem: 0M | Synchronizing object | Plane.001
pid=35464 > 00:00.672  render           | Fra: 157 | Mem: 0M | Synchronizing object | Cube.001
pid=35464 > 00:00.672  render           | Fra: 157 | Mem: 0M | Synchronizing object | Cylinder.001
pid=35464 > 00:00.672  render           | Fra: 157 | Mem: 0M | Synchronizing object | Cylinder.003
pid=35464 > 00:00.672  render           | Fra: 157 | Mem: 0M | Synchronizing object | Cylinder.004
pid=35464 > 00:00.672  render           | Fra: 157 | Mem: 0M | Synchronizing object | Cylinder.005
pid=35464 > 00:00.672  render           | Fra: 157 | Mem: 0M | Synchronizing object | Cylinder.006
pid=35464 > 00:00.672  render           | Fra: 157 | Mem: 0M | Synchronizing object | Cylinder.007
pid=35464 > 00:00.672  render           | Fra: 157 | Mem: 0M | Synchronizing object | Cylinder.008
pid=35464 > 00:00.672  render           | Fra: 157 | Mem: 0M | Synchronizing object | AsopusRiver
pid=35464 > 00:00.672  render           | Fra: 157 | Mem: 0M | Synchronizing object | ParnithaRidge
pid=35464 > 00:00.672  render           | Fra: 157 | Mem: 0M | Synchronizing object | Cypress_01
pid=35464 > 00:00.672  render           | Fra: 157 | Mem: 0M | Synchronizing object | Cypress_02
pid=35464 > 00:00.672  render           | Fra: 157 | Mem: 0M | Synchronizing object | Cypress_03
pid=35464 > 00:00.672  render           | Fra: 157 | Mem: 0M | Synchronizing object | Cypress_06
pid=35464 > 00:00.672  render           | Fra: 157 | Mem: 0M | Synchronizing object | Cypress_09
pid=35464 > 00:00.672  render           | Fra: 157 | Mem: 0M | Synchronizing object | Cypress_10
pid=35464 > 00:00.672  render           | Fra: 157 | Mem: 0M | Synchronizing object | Cypress_11
pid=35464 > 00:00.672  render           | Fra: 157 | Mem: 0M | Synchronizing object | Olive_00_00
pid=35464 > 00:00.672  render           | Fra: 157 | Mem: 0M | Synchronizing object | Olive_00_02
pid=35464 > 00:00.672  render           | Fra: 157 | Mem: 0M | Synchronizing object | Olive_00_05
pid=35464 > 00:00.672  render           | Fra: 157 | Mem: 0M | Synchronizing object | Olive_00_06
pid=35464 > 00:00.672  render           | Fra: 157 | Mem: 0M | Synchronizing object | Olive_00_07
pid=35464 > 00:00.672  render           | Fra: 157 | Mem: 0M | Synchronizing object | Olive_00_08
pid=35464 > 00:00.672  render           | Fra: 157 | Mem: 0M | Synchronizing object | Olive_01_00
pid=35464 > 00:00.672  render           | Fra: 157 | Mem: 0M | Synchronizing object | Olive_01_01
