2026-05-11T15:14:48+01:00 Task assigned to worker studiowin11 (4fcaf37b-6c2f-4959-809b-2f3ba7304111)
2026-05-11T15:14:48+01:00 task changed status queued -> active
going to run:

    'C:\Program Files\Blender Foundation\Blender 5.1\blender.exe' -b -y flamenco_attempt_1.blend --scene Scene --python-expr 'import bpy; r = bpy.context.scene.render; r.use_file_extension = True; r.use_overwrite = False; r.use_placeholder = False' --render-output 'C:/BlenderFarm/flamenco_attempt_1/2026-05-10_205727/######' --render-format OPEN_EXR_MULTILAYER --render-frame 11

pid=47016 > 00:00.297  blend            | Read blend: "C:\BlenderFarm\flamenco_attempt_1.blend"
pid=47016 > 00:00.485  render           | Rendering single frame
pid=47016 > 00:00.485  render           | Rendering frame 11
pid=47016 > 00:00.485  render           | Start rendering: Scene, ViewLayer
pid=47016 > 00:00.485  render           | Engine: Cycles
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Plane
pid=47016 > Blender 5.1.1 (hash b70da489d7f4 built 2026-04-14 01:37:22)
pid=47016 > Scene switch for render: 'Scene' in file: 'C:\BlenderFarm\flamenco_attempt_1.blend'
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Plane.001
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Cube.001
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Cylinder.002
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Cylinder.004
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Cylinder.005
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Cylinder.006
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Cylinder.007
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Cylinder.008
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | BoeotianPlain
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | AsopusRiver
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | ParnithaRidge
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Cypress_00
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Cypress_01
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Cypress_06
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Cypress_09
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Cypress_10
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Cypress_13
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Olive_00_01
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Olive_00_04
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Olive_00_07
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Olive_01_02
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Olive_01_03
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Olive_01_04
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Olive_01_05
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Olive_01_07
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Olive_01_10
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Olive_01_11
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Olive_01_12
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Olive_01_13
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Olive_02_00
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Olive_02_01
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Olive_02_04
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Olive_02_05
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Olive_02_06
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Olive_03_02
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Olive_03_04
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Olive_03_05
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Olive_03_06
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Olive_03_08
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Olive_03_09
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Bldg_00_wall
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Bldg_01_wall
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Bldg_01_roof
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Bldg_02_wall
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Bldg_02_roof
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Bldg_03_wall
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Bldg_04_wall
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Bldg_04_roof
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Bldg_05_wall
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Bldg_06_wall
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Bldg_07_wall
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Bldg_07_roof
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Bldg_08_roof
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Bldg_09_wall
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Bldg_09_roof
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Bldg_10_wall
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Bldg_10_roof
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Bldg_11_wall
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Bldg_13_roof
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Bldg_14_roof
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Bldg_15_wall
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Bldg_16_wall
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Bldg_16_roof
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Bldg_17_wall
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Bldg_17_roof
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Bldg_18_wall
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Bldg_19_wall
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Bldg_19_roof
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Church
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | BellTower
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | FuelDrum_00_1
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | FuelDrum_01_0
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | FuelDrum_01_1
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | FuelDrum_02_0
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | FuelDrum_04_0
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | FuelDrum_05_0
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | FuelDrum_07_0
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | FuelDrum_08_0
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Sandbag_00_00
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Sandbag_00_01
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Sandbag_00_02
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Sandbag_00_04
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Sandbag_01_01
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Sandbag_01_02
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Sandbag_01_04
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Sandbag_02_00
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Sandbag_02_01
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Sandbag_02_02
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Sandbag_02_04
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Hurricane_Wing_-1
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Hurricane_Engine
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Hurricane_Scorch
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | WirePost_00
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Wire_01_0.4
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Wire_01_1.0
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | WirePost_02
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Wire_02_1.0
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Wire_03_0.7
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | WirePost_04
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Wire_05_0.7
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Wire_06_0.7
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Wire_06_1.0
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Kubelwagen_1_body
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Kubelwagen_2_body
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | OpelBlitz_1_body
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | OpelBlitz_1_cab
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | OpelBlitz_2_body
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | OpelBlitz_2_cab
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Motorcycle
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | Tent_02
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | ShellCasing_00
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | ShellCasing_01
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | ShellCasing_03
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | ShellCasing_04
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | ShellCasing_06
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | ShellCasing_07
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | ShellCasing_09
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | ShellCasing_11
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | ShellCasing_12
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | ShellCasing_14
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | ShellCasing_15
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | ShellCasing_16
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | ShellCasing_17
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | ShellCasing_18
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | ShellCasing_19
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | AmmoCrate_00
pid=47016 > 00:00.656  render           | Fra: 11 | Mem: 0M | Synchronizing object | AmmoCrate_01
pid=47016 > 00:00.672  render           | Fra: 11 | Mem: 0M | Synchronizing object | AmmoCrate_02
pid=47016 > 00:00.672  render           | Fra: 11 | Mem: 0M | Synchronizing object | AmmoCrate_03
pid=47016 > 00:00.672  render           | Fra: 11 | Mem: 0M | Synchronizing object | AmmoCrate_04
pid=47016 > 00:00.672  render           | Fra: 11 | Mem: 0M | Synchronizing object | AmmoCrate_05
pid=47016 > 00:00.672  render           | Fra: 11 | Mem: 0M | Synchronizing object | ExhaustVisual_0
pid=47016 > 00:00.672  render           | Fra: 11 | Mem: 0M | Synchronizing object | ExhaustVisual_1
pid=47016 > 00:00.672  render           | Fra: 11 | Mem: 0M | Synchronizing object | ExhaustVisual_2
pid=47016 > 00:00.672  render           | Fra: 11 | Mem: 0M | Synchronizing object | PropDisc_Ju52_0
pid=47016 > 00:00.672  render           | Fra: 11 | Mem: 0M | Synchronizing object | PropDisc_Ju52_2
pid=47016 > 00:00.672  render           | Fra: 11 | Mem: 0M | Synchronizing object | Stuka_Fuselage
pid=47016 > 00:00.672  render           | Fra: 11 | Mem: 0M | Synchronizing object | Stuka_Engine
pid=47016 > 00:00.672  render           | Fra: 11 | Mem: 0M | Synchronizing object | Stuka_Spinner
pid=47016 > 00:00.672  render           | Fra: 11 | Mem: 0M | Synchronizing object | Stuka_Cockpit
pid=47016 > 00:00.672  render           | Fra: 11 | Mem: 0M | Synchronizing object | Stuka_TailFin
pid=47016 > 00:00.672  render           | Fra: 11 | Mem: 0M | Synchronizing object | Stuka_HStab
pid=47016 > 00:00.672  render           | Fra: 11 | Mem: 0M | Synchronizing object | Stuka_Wing_Inner_Port
pid=47016 > 00:00.672  render           | Fra: 11 | Mem: 0M | Synchronizing object | Stuka_Wing_Outer_Port
pid=47016 > 00:00.672  render           | Fra: 11 | Mem: 0M | Synchronizing object | Stuka_UndercLeg_Port
pid=47016 > 00:00.672  render           | Fra: 11 | Mem: 0M | Synchronizing object | Stuka_Spat_Port
pid=47016 > 00:00.672  render           | Fra: 11 | Mem: 0M | Synchronizing object | Stuka_DiveBrake_Port
pid=47016 > 00:00.672  render           | Fra: 11 | Mem: 0M | Synchronizing object | Stuka_Wing_Inner_Stbd
pid=47016 > 00:00.672  render           | Fra: 11 | Mem: 0M | Synchronizing object | Stuka_Wing_Outer_Stbd
pid=47016 > 00:00.672  render           | Fra: 11 | Mem: 0M | Synchronizing object | Stuka_UndercLeg_Stbd
pid=47016 > 00:00.688  render           | Fra: 11 | Mem: 0M | Synchronizing object | Stuka_Spat_Stbd
pid=47016 > 00:00.688  render           | Fra: 11 | Mem: 0M | Synchronizing object | Stuka_DiveBrake_Stbd
pid=47016 > 00:00.688  render           | Fra: 11 | Mem: 0M | Synchronizing object | Stuka_PropDisc
pid=47016 > 00:00.688  render           | Fra: 11 | Mem: 0M | Synchronizing object | Bf109_Fuselage
pid=47016 > 00:00.688  render           | Fra: 11 | Mem: 0M | Synchronizing object | Bf109_Engine
pid=47016 > 00:00.688  render           | Fra: 11 | Mem: 0M | Synchronizing object | Bf109_Prop
pid=47016 > 00:00.688  render           | Fra: 11 | Mem: 0M | Synchronizing object | Bf109_Wings
pid=47016 > 00:00.688  render           | Fra: 11 | Mem: 0M | Synchronizing object | Bf109_TailFin
pid=47016 > 00:00.688  render           | Fra: 11 | Mem: 0M | Synchronizing object | Bf109_HStab
pid=47016 > 00:00.688  render           | Fra: 11 | Mem: 0M | Synchronizing object | Bf109_Cockpit
pid=47016 > 00:00.688  render           | Fra: 11 | Mem: 0M | Synchronizing object | Exhaust_S1_E0
pid=47016 > 00:00.688  render           | Fra: 11 | Mem: 0M | Synchronizing object | Exhaust_S2_E1
pid=47016 > 00:00.688  render           | Fra: 11 | Mem: 0M | Synchronizing object | Exhaust_S4_E0
pid=47016 > 00:00.688  render           | Fra: 11 | Mem: 0M | Synchronizing object | Exhaust_S5_E0
