2026-05-11T16:01:12+01:00 Task assigned to worker studiowin11 (4fcaf37b-6c2f-4959-809b-2f3ba7304111)
2026-05-11T16:01:12+01:00 task changed status queued -> active
going to run:

    'C:\Program Files\Blender Foundation\Blender 5.1\blender.exe' -b -y flamenco_attempt_1.blend --scene Scene --python-expr 'import bpy; r = bpy.context.scene.render; r.use_file_extension = True; r.use_overwrite = False; r.use_placeholder = False' --render-output 'C:/BlenderFarm/flamenco_attempt_1/2026-05-10_205727/######' --render-format OPEN_EXR_MULTILAYER --render-frame 78

pid=46352 > 00:00.297  blend            | Read blend: "C:\BlenderFarm\flamenco_attempt_1.blend"
pid=46352 > 00:00.500  render           | Rendering single frame
pid=46352 > 00:00.500  render           | Rendering frame 78
pid=46352 > 00:00.500  render           | Start rendering: Scene, ViewLayer
pid=46352 > 00:00.500  render           | Engine: Cycles
pid=46352 > 00:00.672  render           | Fra: 78 | Mem: 0M | Synchronizing object | Plane
pid=46352 > Blender 5.1.1 (hash b70da489d7f4 built 2026-04-14 01:37:22)
pid=46352 > Scene switch for render: 'Scene' in file: 'C:\BlenderFarm\flamenco_attempt_1.blend'
pid=46352 > 00:00.672  render           | Fra: 78 | Mem: 0M | Synchronizing object | Plane.001
pid=46352 > 00:00.672  render           | Fra: 78 | Mem: 0M | Synchronizing object | Cylinder
pid=46352 > 00:00.672  render           | Fra: 78 | Mem: 0M | Synchronizing object | Cylinder.003
pid=46352 > 00:00.672  render           | Fra: 78 | Mem: 0M | Synchronizing object | Cylinder.007
pid=46352 > 00:00.672  render           | Fra: 78 | Mem: 0M | Synchronizing object | Cylinder.008
pid=46352 > 00:00.672  render           | Fra: 78 | Mem: 0M | Synchronizing object | AsopusRiver
pid=46352 > 00:00.672  render           | Fra: 78 | Mem: 0M | Synchronizing object | ParnithaRidge
pid=46352 > 00:00.672  render           | Fra: 78 | Mem: 0M | Synchronizing object | Cypress_00
pid=46352 > 00:00.672  render           | Fra: 78 | Mem: 0M | Synchronizing object | Cypress_01
pid=46352 > 00:00.672  render           | Fra: 78 | Mem: 0M | Synchronizing object | Cypress_02
pid=46352 > 00:00.672  render           | Fra: 78 | Mem: 0M | Synchronizing object | Cypress_03
pid=46352 > 00:00.672  render           | Fra: 78 | Mem: 0M | Synchronizing object | Cypress_04
pid=46352 > 00:00.672  render           | Fra: 78 | Mem: 0M | Synchronizing object | Cypress_06
pid=46352 > 00:00.672  render           | Fra: 78 | Mem: 0M | Synchronizing object | Cypress_08
pid=46352 > 00:00.672  render           | Fra: 78 | Mem: 0M | Synchronizing object | Cypress_09
pid=46352 > 00:00.672  render           | Fra: 78 | Mem: 0M | Synchronizing object | Cypress_10
pid=46352 > 00:00.672  render           | Fra: 78 | Mem: 0M | Synchronizing object | Cypress_13
pid=46352 > 00:00.672  render           | Fra: 78 | Mem: 0M | Synchronizing object | Olive_00_04
