2026-05-11T16:51:39+01:00 Task assigned to worker studiowin11 (4fcaf37b-6c2f-4959-809b-2f3ba7304111)
2026-05-11T16:51:39+01:00 task changed status queued -> active
going to run:

    'C:\Program Files\Blender Foundation\Blender 5.1\blender.exe' -b -y flamenco_attempt_1.blend --scene Scene --python-expr 'import bpy; r = bpy.context.scene.render; r.use_file_extension = True; r.use_overwrite = False; r.use_placeholder = False' --render-output 'C:/BlenderFarm/flamenco_attempt_1/2026-05-10_205727/######' --render-format OPEN_EXR_MULTILAYER --render-frame 143

pid=45520 > 00:00.297  blend            | Read blend: "C:\BlenderFarm\flamenco_attempt_1.blend"
pid=45520 > 00:00.484  render           | Rendering single frame
pid=45520 > 00:00.484  render           | Rendering frame 143
pid=45520 > 00:00.484  render           | Start rendering: Scene, ViewLayer
pid=45520 > 00:00.484  render           | Engine: Cycles
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Plane
pid=45520 > Blender 5.1.1 (hash b70da489d7f4 built 2026-04-14 01:37:22)
pid=45520 > Scene switch for render: 'Scene' in file: 'C:\BlenderFarm\flamenco_attempt_1.blend'
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Cube.001
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Cylinder.001
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Cylinder.003
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Cylinder.005
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Cylinder.006
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Cylinder.007
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Cylinder.008
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | BoeotianPlain
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | AsopusRiver
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | ParnithaRidge
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Cypress_00
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Cypress_02
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Cypress_06
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Cypress_07
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Cypress_10
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Cypress_11
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Olive_00_06
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Olive_01_02
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Olive_01_05
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Olive_01_09
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Olive_01_10
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Olive_01_11
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Olive_01_12
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Olive_01_13
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Olive_02_01
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Olive_02_04
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Olive_02_05
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Olive_02_06
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Olive_03_01
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Olive_03_02
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Olive_03_04
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Olive_03_06
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Olive_03_09
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Olive_03_10
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Olive_03_11
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Bldg_00_wall
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Bldg_00_roof
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Bldg_02_wall
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Bldg_03_wall
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Bldg_04_roof
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Bldg_05_wall
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Bldg_05_roof
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Bldg_06_wall
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Bldg_06_roof
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Bldg_07_roof
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Bldg_08_wall
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Bldg_08_roof
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Bldg_09_roof
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Bldg_11_wall
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Bldg_11_roof
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Bldg_12_wall
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Bldg_12_roof
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Bldg_13_wall
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Bldg_13_roof
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Bldg_15_wall
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Bldg_15_roof
pid=45520 > 00:00.656  render           | Fra: 143 | Mem: 0M | Synchronizing object | Bldg_16_roof
