2026-05-11T17:39:24+01:00 Task assigned to worker studiowin11 (4fcaf37b-6c2f-4959-809b-2f3ba7304111)
2026-05-11T17:39:24+01:00 task changed status queued -> active
going to run:

    'C:\Program Files\Blender Foundation\Blender 5.1\blender.exe' -b -y flamenco_attempt_1.blend --scene Scene --python-expr 'import bpy; r = bpy.context.scene.render; r.use_file_extension = True; r.use_overwrite = False; r.use_placeholder = False' --render-output 'C:/BlenderFarm/flamenco_attempt_1/2026-05-10_205727/######' --render-format OPEN_EXR_MULTILAYER --render-frame 198

pid=23736 > 00:00.297  blend            | Read blend: "C:\BlenderFarm\flamenco_attempt_1.blend"
pid=23736 > 00:00.484  render           | Rendering single frame
pid=23736 > 00:00.484  render           | Rendering frame 198
pid=23736 > 00:00.484  render           | Start rendering: Scene, ViewLayer
pid=23736 > 00:00.484  render           | Engine: Cycles
pid=23736 > 00:00.672  render           | Fra: 198 | Mem: 0M | Synchronizing object | Plane
pid=23736 > Blender 5.1.1 (hash b70da489d7f4 built 2026-04-14 01:37:22)
pid=23736 > Scene switch for render: 'Scene' in file: 'C:\BlenderFarm\flamenco_attempt_1.blend'
pid=23736 > 00:00.672  render           | Fra: 198 | Mem: 0M | Synchronizing object | Cypress_00
pid=23736 > 00:00.672  render           | Fra: 198 | Mem: 0M | Synchronizing object | Cypress_03
pid=23736 > 00:00.672  render           | Fra: 198 | Mem: 0M | Synchronizing object | Cypress_04
pid=23736 > 00:00.672  render           | Fra: 198 | Mem: 0M | Synchronizing object | Cypress_05
pid=23736 > 00:00.672  render           | Fra: 198 | Mem: 0M | Synchronizing object | Cypress_06
pid=23736 > 00:00.672  render           | Fra: 198 | Mem: 0M | Synchronizing object | Cypress_07
pid=23736 > 00:00.672  render           | Fra: 198 | Mem: 0M | Synchronizing object | Cypress_08
pid=23736 > 00:00.672  render           | Fra: 198 | Mem: 0M | Synchronizing object | Cypress_10
pid=23736 > 00:00.672  render           | Fra: 198 | Mem: 0M | Synchronizing object | Cypress_11
pid=23736 > 00:00.672  render           | Fra: 198 | Mem: 0M | Synchronizing object | Cypress_12
pid=23736 > 00:00.672  render           | Fra: 198 | Mem: 0M | Synchronizing object | Cypress_13
pid=23736 > 00:00.672  render           | Fra: 198 | Mem: 0M | Synchronizing object | Olive_00_00
pid=23736 > 00:00.672  render           | Fra: 198 | Mem: 0M | Synchronizing object | Olive_00_02
pid=23736 > 00:00.672  render           | Fra: 198 | Mem: 0M | Synchronizing object | Olive_00_03
pid=23736 > 00:00.672  render           | Fra: 198 | Mem: 0M | Synchronizing object | Olive_00_04
pid=23736 > 00:00.672  render           | Fra: 198 | Mem: 0M | Synchronizing object | Olive_00_06
pid=23736 > 00:00.672  render           | Fra: 198 | Mem: 0M | Synchronizing object | Olive_00_07
pid=23736 > 00:00.672  render           | Fra: 198 | Mem: 0M | Synchronizing object | Olive_01_00
pid=23736 > 00:00.672  render           | Fra: 198 | Mem: 0M | Synchronizing object | Olive_01_01
pid=23736 > 00:00.672  render           | Fra: 198 | Mem: 0M | Synchronizing object | Olive_01_03
