2026-05-11T15:18:14+01:00 Task assigned to worker studiowin11 (4fcaf37b-6c2f-4959-809b-2f3ba7304111)
2026-05-11T15:18:14+01:00 task changed status queued -> active
going to run:

    'C:\Program Files\Blender Foundation\Blender 5.1\blender.exe' -b -y flamenco_attempt_1.blend --scene Scene --python-expr 'import bpy; r = bpy.context.scene.render; r.use_file_extension = True; r.use_overwrite = False; r.use_placeholder = False' --render-output 'C:/BlenderFarm/flamenco_attempt_1/2026-05-10_205727/######' --render-format OPEN_EXR_MULTILAYER --render-frame 16

pid=6612 > 00:00.297  blend            | Read blend: "C:\BlenderFarm\flamenco_attempt_1.blend"
pid=6612 > 00:00.485  render           | Rendering single frame
pid=6612 > 00:00.485  render           | Rendering frame 16
pid=6612 > 00:00.485  render           | Start rendering: Scene, ViewLayer
pid=6612 > 00:00.485  render           | Engine: Cycles
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Plane
pid=6612 > Blender 5.1.1 (hash b70da489d7f4 built 2026-04-14 01:37:22)
pid=6612 > Scene switch for render: 'Scene' in file: 'C:\BlenderFarm\flamenco_attempt_1.blend'
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Cube.001
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Cylinder.002
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Cylinder.004
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Cylinder.006
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Cylinder.008
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | BoeotianPlain
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | AsopusRiver
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | ParnithaRidge
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Cypress_00
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Cypress_01
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Cypress_02
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Cypress_03
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Cypress_04
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Cypress_06
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Olive_00_02
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Olive_00_07
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Olive_01_04
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Olive_01_05
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Olive_01_08
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Olive_01_09
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Olive_01_12
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Olive_02_00
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Olive_02_01
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Olive_02_04
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Olive_02_05
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Olive_02_06
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Olive_03_00
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Olive_03_02
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Olive_03_03
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Olive_03_05
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Olive_03_07
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Olive_03_08
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Olive_03_09
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Olive_03_11
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Bldg_00_wall
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Bldg_00_roof
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Bldg_01_wall
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Bldg_01_roof
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Bldg_03_wall
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Bldg_03_roof
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Bldg_04_wall
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Bldg_04_roof
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Bldg_05_wall
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Bldg_05_roof
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Bldg_06_wall
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Bldg_07_wall
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Bldg_08_wall
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Bldg_08_roof
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Bldg_09_wall
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Bldg_09_roof
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Bldg_11_wall
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Bldg_12_wall
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Bldg_13_wall
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Bldg_13_roof
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Bldg_14_wall
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Bldg_14_roof
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Bldg_15_wall
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Bldg_15_roof
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Bldg_16_wall
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Bldg_16_roof
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Bldg_17_wall
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Bldg_17_roof
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Bldg_18_roof
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Church
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | BellTower
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | FuelDrum_00_0
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | FuelDrum_00_1
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | FuelDrum_01_1
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | FuelDrum_05_0
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Sandbag_00_00
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Sandbag_00_01
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Sandbag_00_02
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Sandbag_00_03
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Sandbag_00_04
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Sandbag_01_00
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Sandbag_01_03
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Sandbag_01_04
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Sandbag_02_02
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Sandbag_02_04
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Hurricane_Wing_1
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Hurricane_Engine
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | WirePost_00
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Wire_01_0.7
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Wire_01_1.0
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | WirePost_02
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Wire_02_0.4
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Wire_02_0.7
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Wire_02_1.0
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | WirePost_03
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Wire_03_0.4
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Wire_03_0.7
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Wire_03_1.0
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | WirePost_04
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Wire_04_0.4
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Wire_04_0.7
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Wire_04_1.0
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Wire_05_0.7
pid=6612 > 00:00.657  render           | Fra: 16 | Mem: 0M | Synchronizing object | Wire_06_1.0
