2026-05-09T11:05:34+01:00 Task assigned to worker studiowin11 (4fcaf37b-6c2f-4959-809b-2f3ba7304111)
2026-05-09T11:05:34+01:00 task changed status queued -> active
going to run:

    'C:\Program Files\Blender Foundation\Blender 5.1\blender.exe' -b -y flamenco_attempt_1.blend --scene Scene --python-expr 'import bpy; r = bpy.context.scene.render; r.use_file_extension = True; r.use_overwrite = False; r.use_placeholder = False' --render-output 'C:/Users/Rich/Documents/BlenderFarm/flamenco_attempt_1/2026-05-09_090651/######' --render-format OPEN_EXR_MULTILAYER --render-frame 166

pid=29564 > 00:00.281  blend            | Read blend: "C:\BlenderFarm\flamenco_attempt_1.blend"
pid=29564 > 00:00.468  render           | Rendering single frame
pid=29564 > 00:00.468  render           | Rendering frame 166
pid=29564 > 00:00.468  render           | Start rendering: Scene, ViewLayer
pid=29564 > 00:00.468  render           | Engine: Cycles
pid=29564 > 00:00.640  render           | Fra: 166 | Mem: 0M | Synchronizing object | Plane
pid=29564 > Blender 5.1.1 (hash b70da489d7f4 built 2026-04-14 01:37:22)
pid=29564 > Scene switch for render: 'Scene' in file: 'C:\BlenderFarm\flamenco_attempt_1.blend'
pid=29564 > 00:00.640  render           | Fra: 166 | Mem: 0M | Synchronizing object | Cube.001
pid=29564 > 00:00.640  render           | Fra: 166 | Mem: 0M | Synchronizing object | Cylinder.002
pid=29564 > 00:00.640  render           | Fra: 166 | Mem: 0M | Synchronizing object | Cylinder.003
pid=29564 > 00:00.640  render           | Fra: 166 | Mem: 0M | Synchronizing object | Cylinder.005
pid=29564 > 00:00.640  render           | Fra: 166 | Mem: 0M | Synchronizing object | Cylinder.006
pid=29564 > 00:00.640  render           | Fra: 166 | Mem: 0M | Synchronizing object | Cylinder.008
pid=29564 > 00:00.640  render           | Fra: 166 | Mem: 0M | Synchronizing object | AsopusRiver
pid=29564 > 00:00.640  render           | Fra: 166 | Mem: 0M | Synchronizing object | ParnithaRidge
pid=29564 > 00:00.640  render           | Fra: 166 | Mem: 0M | Synchronizing object | Cypress_01
pid=29564 > 00:00.640  render           | Fra: 166 | Mem: 0M | Synchronizing object | Cypress_03
pid=29564 > 00:00.640  render           | Fra: 166 | Mem: 0M | Synchronizing object | Cypress_05
pid=29564 > 00:00.640  render           | Fra: 166 | Mem: 0M | Synchronizing object | Cypress_07
pid=29564 > 00:00.640  render           | Fra: 166 | Mem: 0M | Synchronizing object | Cypress_08
pid=29564 > 00:00.640  render           | Fra: 166 | Mem: 0M | Synchronizing object | Cypress_10
pid=29564 > 00:00.640  render           | Fra: 166 | Mem: 0M | Synchronizing object | Cypress_11
pid=29564 > 00:00.640  render           | Fra: 166 | Mem: 0M | Synchronizing object | Olive_00_00
