2026-05-09T13:49:27+01:00 Task assigned to worker carly (1ba8dbfe-db52-47fc-870b-6a4dbb1e39bc)
2026-05-09T13:49:27+01:00 task changed status queued -> active
going to run:

    'C:\Program Files\Blender Foundation\Blender 5.1\blender.exe' -b -y flamenco_attempt_1.blend --scene Scene --python-expr 'import bpy; r = bpy.context.scene.render; r.use_file_extension = True; r.use_overwrite = False; r.use_placeholder = False' --render-output 'C:/Users/Rich/Documents/BlenderFarm/flamenco_attempt_1/2026-05-09_090651/######' --render-format OPEN_EXR_MULTILAYER --render-frame 246

pid=20912 > 00:02.250  blend            | Read blend: "C:\BlenderFarm\flamenco_attempt_1.blend"
pid=20912 > 00:03.281  render           | Rendering single frame
pid=20912 > 00:03.281  render           | Rendering frame 246
pid=20912 > 00:03.281  render           | Start rendering: Scene, ViewLayer
pid=20912 > 00:03.281  render           | Engine: Cycles
pid=20912 > 00:04.313  render           | Fra: 246 | Mem: 0M | Synchronizing object | Plane
pid=20912 > Blender 5.1.1 (hash b70da489d7f4 built 2026-04-14 01:37:22)
pid=20912 > Scene switch for render: 'Scene' in file: 'C:\BlenderFarm\flamenco_attempt_1.blend'
pid=20912 > 00:04.313  render           | Fra: 246 | Mem: 0M | Synchronizing object | Cube
pid=20912 > 00:04.313  render           | Fra: 246 | Mem: 0M | Synchronizing object | Plane.001
pid=20912 > 00:04.313  render           | Fra: 246 | Mem: 0M | Synchronizing object | Cube.001
pid=20912 > 00:04.313  render           | Fra: 246 | Mem: 0M | Synchronizing object | Cylinder
pid=20912 > 00:04.313  render           | Fra: 246 | Mem: 0M | Synchronizing object | Cylinder.001
pid=20912 > 00:04.313  render           | Fra: 246 | Mem: 0M | Synchronizing object | Cylinder.002
pid=20912 > 00:04.313  render           | Fra: 246 | Mem: 0M | Synchronizing object | Cylinder.003
pid=20912 > 00:04.313  render           | Fra: 246 | Mem: 0M | Synchronizing object | Cylinder.004
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Cylinder.005
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Cylinder.006
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Cylinder.007
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Cylinder.008
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | BoeotianPlain
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | AsopusRiver
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | ParnithaRidge
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Cypress_00
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Cypress_01
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Cypress_02
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Cypress_03
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Cypress_04
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Cypress_05
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Cypress_06
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Cypress_07
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Cypress_08
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Cypress_09
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Cypress_10
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Cypress_11
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Cypress_12
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Cypress_13
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Olive_00_00
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Olive_00_01
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Olive_00_02
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Olive_00_03
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Olive_00_04
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Olive_00_05
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Olive_00_06
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Olive_00_07
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Olive_00_08
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Olive_00_09
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Olive_01_00
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Olive_01_01
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Olive_01_02
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Olive_01_03
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Olive_01_04
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Olive_01_05
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Olive_01_06
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Olive_01_07
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Olive_01_08
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Olive_01_09
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Olive_01_10
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Olive_01_11
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Olive_01_12
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Olive_01_13
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Olive_02_00
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Olive_02_02
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Olive_02_03
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Olive_02_04
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Olive_02_05
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Olive_02_06
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Olive_03_00
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Olive_03_01
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Olive_03_02
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Olive_03_03
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Olive_03_04
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Olive_03_05
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Olive_03_06
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Olive_03_07
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Olive_03_08
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Olive_03_09
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Olive_03_10
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Olive_03_11
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bldg_00_wall
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bldg_00_roof
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bldg_01_wall
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bldg_01_roof
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bldg_02_wall
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bldg_02_roof
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bldg_03_roof
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bldg_04_wall
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bldg_04_roof
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bldg_05_roof
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bldg_06_wall
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bldg_06_roof
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bldg_07_wall
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bldg_07_roof
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bldg_08_wall
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bldg_08_roof
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bldg_09_wall
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bldg_09_roof
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bldg_10_wall
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bldg_10_roof
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bldg_11_wall
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bldg_11_roof
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Stuka_Fuselage
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Stuka_Engine
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Stuka_Spinner
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Stuka_Cockpit
pid=20912 > 00:04.328  render           | Fra: 246 | Mem: 0M | Synchronizing object | Stuka_TailFin
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bldg_12_roof
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bldg_13_wall
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | Stuka_Wing_Inner_Port
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | Stuka_Wing_Outer_Port
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | Stuka_UndercLeg_Port
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | Stuka_Spat_Port
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | Stuka_DiveBrake_Port
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | Stuka_Wing_Inner_Stbd
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | Stuka_Wing_Outer_Stbd
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | Stuka_UndercLeg_Stbd
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | Stuka_Spat_Stbd
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | Stuka_DiveBrake_Stbd
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | Stuka_PropDisc
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bf109_Fuselage
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bf109_Engine
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bf109_Prop
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bf109_Wings
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bf109_TailFin
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bf109_HStab
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bf109_Cockpit
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bldg_14_wall
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bldg_14_roof
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bldg_15_wall
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bldg_15_roof
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bldg_16_wall
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bldg_16_roof
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bldg_17_wall
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bldg_17_roof
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bldg_18_wall
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bldg_18_roof
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bldg_19_wall
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | Bldg_19_roof
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | Church
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | BellTower
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | FuelDrum_00_0
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | FuelDrum_00_1
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | FuelDrum_01_0
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | FuelDrum_01_1
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | FuelDrum_02_0
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | FuelDrum_03_0
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | FuelDrum_04_0
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | FuelDrum_05_0
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | FuelDrum_06_0
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | FuelDrum_07_0
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | FuelDrum_08_0
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | FuelDrum_09_0
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | Sandbag_00_00
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | Sandbag_00_01
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | Sandbag_00_02
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | Sandbag_00_04
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | Sandbag_01_00
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | Sandbag_01_01
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | Sandbag_01_02
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | Sandbag_01_03
pid=20912 > 00:04.344  render           | Fra: 246 | Mem: 0M | Synchronizing object | Sandbag_01_04
