2026-05-09T12:09:11+01:00 Task assigned to worker carly (1ba8dbfe-db52-47fc-870b-6a4dbb1e39bc)
2026-05-09T12:09:11+01:00 task changed status queued -> active
going to run:

    'C:\Program Files\Blender Foundation\Blender 5.1\blender.exe' -b -y flamenco_attempt_1.blend --scene Scene --python-expr 'import bpy; r = bpy.context.scene.render; r.use_file_extension = True; r.use_overwrite = False; r.use_placeholder = False' --render-output 'C:/Users/Rich/Documents/BlenderFarm/flamenco_attempt_1/2026-05-09_090651/######' --render-format OPEN_EXR_MULTILAYER --render-frame 239

pid=21228 > 00:00.625  blend            | Read blend: "C:\BlenderFarm\flamenco_attempt_1.blend"
pid=21228 > 00:00.828  render           | Rendering single frame
pid=21228 > 00:00.828  render           | Rendering frame 239
pid=21228 > 00:00.828  render           | Start rendering: Scene, ViewLayer
pid=21228 > 00:00.828  render           | Engine: Cycles
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Plane
pid=21228 > Blender 5.1.1 (hash b70da489d7f4 built 2026-04-14 01:37:22)
pid=21228 > Scene switch for render: 'Scene' in file: 'C:\BlenderFarm\flamenco_attempt_1.blend'
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Cylinder.003
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Cylinder.008
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | BoeotianPlain
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | AsopusRiver
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | ParnithaRidge
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Cypress_00
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Cypress_01
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Cypress_02
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Cypress_04
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Cypress_03
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Cypress_05
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Cypress_06
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Cypress_08
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Cypress_11
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Cypress_13
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Olive_00_01
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Olive_00_03
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Olive_00_05
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Olive_00_06
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Olive_00_09
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Olive_01_02
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Olive_01_03
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Olive_01_06
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Olive_01_07
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Olive_01_08
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Olive_01_09
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Olive_01_12
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Olive_01_13
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Olive_02_00
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Olive_02_01
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Olive_02_02
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Olive_02_04
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Olive_02_05
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Olive_02_06
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Olive_03_01
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Olive_03_02
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Olive_03_04
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Olive_03_05
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Olive_03_06
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Olive_03_09
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Olive_03_11
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Bldg_00_wall
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Bldg_01_wall
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Bldg_02_roof
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Bldg_03_wall
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Bldg_03_roof
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Bldg_04_wall
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Bldg_04_roof
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Bldg_05_wall
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Bldg_05_roof
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Bldg_06_wall
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Bldg_07_wall
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Bldg_07_roof
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Bldg_08_roof
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Bldg_09_wall
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Bldg_10_wall
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Bldg_10_roof
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Bldg_11_wall
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Bldg_11_roof
pid=21228 > 00:01.016  render           | Fra: 239 | Mem: 0M | Synchronizing object | Bldg_12_wall
