2026-05-09T11:50:37+01:00 Task assigned to worker studiowin11 (4fcaf37b-6c2f-4959-809b-2f3ba7304111)
2026-05-09T11:50:37+01:00 task changed status queued -> active
going to run:

    'C:\Program Files\Blender Foundation\Blender 5.1\blender.exe' -b -y flamenco_attempt_1.blend --scene Scene --python-expr 'import bpy; r = bpy.context.scene.render; r.use_file_extension = True; r.use_overwrite = False; r.use_placeholder = False' --render-output 'C:/Users/Rich/Documents/BlenderFarm/flamenco_attempt_1/2026-05-09_090651/######' --render-format OPEN_EXR_MULTILAYER --render-frame 219

pid=15680 > 00:00.266  blend            | Read blend: "C:\BlenderFarm\flamenco_attempt_1.blend"
pid=15680 > 00:00.454  render           | Rendering single frame
pid=15680 > 00:00.454  render           | Rendering frame 219
pid=15680 > 00:00.454  render           | Start rendering: Scene, ViewLayer
pid=15680 > 00:00.454  render           | Engine: Cycles
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Plane
pid=15680 > Blender 5.1.1 (hash b70da489d7f4 built 2026-04-14 01:37:22)
pid=15680 > Scene switch for render: 'Scene' in file: 'C:\BlenderFarm\flamenco_attempt_1.blend'
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Cube.001
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Cylinder.002
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Cylinder.004
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Cylinder.006
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Cylinder.007
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Cylinder.008
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | BoeotianPlain
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | AsopusRiver
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | ParnithaRidge
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Cypress_00
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Cypress_01
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Cypress_02
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Cypress_03
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Cypress_05
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Cypress_06
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Cypress_07
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Cypress_08
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Cypress_10
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Cypress_11
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Cypress_12
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Olive_00_02
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Olive_00_09
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Olive_01_00
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Olive_01_03
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Olive_01_05
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Olive_01_06
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Olive_01_10
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Olive_01_12
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Olive_01_13
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Olive_02_02
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Olive_02_04
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Olive_02_05
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Olive_03_02
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Olive_03_03
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Olive_03_04
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Olive_03_05
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Olive_03_07
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Olive_03_09
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Olive_03_10
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Bldg_00_wall
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Bldg_00_roof
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Bldg_02_roof
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Bldg_03_wall
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Bldg_03_roof
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Bldg_04_wall
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Bldg_05_wall
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Bldg_06_wall
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Bldg_07_roof
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Bldg_08_wall
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Bldg_08_roof
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Bldg_09_roof
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Bldg_10_wall
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Bldg_10_roof
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Bldg_11_wall
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Bldg_11_roof
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Bldg_12_roof
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Bldg_13_wall
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Bldg_14_roof
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Bldg_15_roof
pid=15680 > 00:00.641  render           | Fra: 219 | Mem: 0M | Synchronizing object | Bldg_16_wall
