2026-05-09T09:11:06+01:00 Task assigned to worker studiowin11 (4fcaf37b-6c2f-4959-809b-2f3ba7304111)
2026-05-09T09:11:06+01:00 task changed status queued -> active
going to run:

    'C:\Program Files\Blender Foundation\Blender 5.1\blender.exe' -b -y flamenco_attempt_1.blend --scene Scene --python-expr 'import bpy; r = bpy.context.scene.render; r.use_file_extension = True; r.use_overwrite = False; r.use_placeholder = False' --render-output 'C:/Users/Rich/Documents/BlenderFarm/flamenco_attempt_1/2026-05-09_090651/######' --render-format OPEN_EXR_MULTILAYER --render-frame 8

pid=26720 > 00:00.266  blend            | Read blend: "C:\BlenderFarm\flamenco_attempt_1.blend"
pid=26720 > 00:00.469  render           | Rendering single frame
pid=26720 > 00:00.469  render           | Rendering frame 8
pid=26720 > 00:00.469  render           | Start rendering: Scene, ViewLayer
pid=26720 > 00:00.469  render           | Engine: Cycles
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Plane
pid=26720 > Blender 5.1.1 (hash b70da489d7f4 built 2026-04-14 01:37:22)
pid=26720 > Scene switch for render: 'Scene' in file: 'C:\BlenderFarm\flamenco_attempt_1.blend'
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Plane.001
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Cylinder.001
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Cylinder.002
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Cylinder.004
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Cylinder.006
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Cylinder.007
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | BoeotianPlain
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | AsopusRiver
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Cypress_00
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Cypress_01
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Cypress_02
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Cypress_03
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Cypress_04
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Cypress_05
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Cypress_06
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Cypress_07
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Cypress_08
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Cypress_09
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Cypress_10
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Olive_00_02
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Olive_00_07
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Olive_01_03
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Olive_01_09
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Olive_01_13
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Olive_02_01
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Olive_02_02
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Olive_02_04
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Olive_02_05
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Olive_03_00
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Olive_03_03
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Olive_03_05
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Olive_03_07
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Olive_03_08
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Olive_03_09
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Olive_03_10
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Bldg_01_roof
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Bldg_02_roof
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Bldg_03_wall
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Bldg_03_roof
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Bldg_04_wall
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Bldg_04_roof
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Bldg_05_wall
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Bldg_06_wall
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Bldg_06_roof
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Bldg_07_wall
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Bldg_08_wall
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Bldg_08_roof
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Bldg_09_roof
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Bldg_10_wall
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Bldg_10_roof
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Bldg_12_wall
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Bldg_13_wall
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Bldg_13_roof
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Bldg_14_wall
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Bldg_14_roof
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Bldg_15_wall
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Bldg_16_roof
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Bldg_18_wall
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Bldg_18_roof
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Bldg_19_wall
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Bldg_19_roof
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Church
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | BellTower
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | FuelDrum_00_0
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | FuelDrum_00_1
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | FuelDrum_01_0
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | FuelDrum_04_0
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | FuelDrum_07_0
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | FuelDrum_08_0
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | FuelDrum_09_0
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Sandbag_00_00
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Sandbag_00_01
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Sandbag_00_02
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Sandbag_00_03
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Sandbag_01_00
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Sandbag_01_02
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Sandbag_02_00
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Sandbag_02_04
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Hurricane_Wing_1
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Hurricane_Scorch
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | WirePost_01
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Wire_01_0.4
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Wire_01_0.7
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Wire_01_1.0
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | WirePost_02
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Wire_02_0.4
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Wire_02_0.7
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Wire_03_0.7
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | WirePost_05
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Wire_05_0.4
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Wire_05_0.7
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Wire_05_1.0
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | WirePost_06
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Wire_06_0.4
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Wire_06_0.7
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Wire_06_1.0
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Kubelwagen_1_body
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Kubelwagen_2_body
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | OpelBlitz_1_body
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Stuka_Fuselage
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | OpelBlitz_2_cab
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Motorcycle
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Stuka_Engine
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Trench_00
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Trench_01
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Trench_02
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Tent_01
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Tent_05
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Flak88_Shield
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | ShellCasing_02
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | ShellCasing_10
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | ShellCasing_13
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | ShellCasing_15
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | ShellCasing_17
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | ShellCasing_18
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | ShellCasing_19
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | AmmoCrate_02
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | AmmoCrate_03
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | Stuka_Cockpit
pid=26720 > 00:00.641  render           | Fra: 8 | Mem: 0M | Synchronizing object | AmmoCrate_04
