2026-05-09T10:16:02+01:00 Task assigned to worker studiowin11 (4fcaf37b-6c2f-4959-809b-2f3ba7304111)
2026-05-09T10:16:02+01:00 task changed status queued -> active
going to run:

    'C:\Program Files\Blender Foundation\Blender 5.1\blender.exe' -b -y flamenco_attempt_1.blend --scene Scene --python-expr 'import bpy; r = bpy.context.scene.render; r.use_file_extension = True; r.use_overwrite = False; r.use_placeholder = False' --render-output 'C:/Users/Rich/Documents/BlenderFarm/flamenco_attempt_1/2026-05-09_090651/######' --render-format OPEN_EXR_MULTILAYER --render-frame 103

pid=27512 > 00:00.281  blend            | Read blend: "C:\BlenderFarm\flamenco_attempt_1.blend"
pid=27512 > 00:00.469  render           | Rendering single frame
pid=27512 > 00:00.469  render           | Rendering frame 103
pid=27512 > 00:00.469  render           | Start rendering: Scene, ViewLayer
pid=27512 > 00:00.469  render           | Engine: Cycles
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Plane
pid=27512 > Blender 5.1.1 (hash b70da489d7f4 built 2026-04-14 01:37:22)
pid=27512 > Scene switch for render: 'Scene' in file: 'C:\BlenderFarm\flamenco_attempt_1.blend'
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Cube.001
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Cylinder.001
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Cylinder.005
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Cylinder.006
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Cylinder.007
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Cylinder.008
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | BoeotianPlain
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | AsopusRiver
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | ParnithaRidge
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Cypress_00
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Cypress_01
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Cypress_02
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Cypress_04
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Cypress_05
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Cypress_08
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Cypress_09
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Olive_00_03
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Olive_00_08
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Olive_01_01
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Olive_01_04
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Olive_01_05
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Olive_01_07
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Olive_01_11
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Olive_01_13
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Olive_02_00
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Olive_02_02
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Olive_02_03
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Olive_02_04
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Olive_03_00
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Olive_03_02
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Olive_03_03
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Olive_03_05
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Olive_03_06
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Olive_03_07
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Olive_03_09
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Olive_03_10
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Olive_03_11
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Bldg_00_wall
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Bldg_01_wall
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Bldg_01_roof
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Bldg_02_wall
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Bldg_03_wall
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Bldg_03_roof
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Bldg_04_wall
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Bldg_04_roof
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Bldg_06_wall
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Bldg_06_roof
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Bldg_07_wall
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Bldg_07_roof
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Bldg_08_wall
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Bldg_09_wall
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Bldg_10_wall
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Bldg_10_roof
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Bldg_11_wall
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Bldg_11_roof
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Bldg_12_roof
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Bldg_13_roof
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Bldg_16_wall
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Bldg_16_roof
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Bldg_17_roof
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Bldg_18_wall
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Bldg_18_roof
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Bldg_19_wall
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | BellTower
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | FuelDrum_00_1
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | FuelDrum_02_0
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | FuelDrum_06_0
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Sandbag_00_02
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Sandbag_00_03
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Sandbag_00_04
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Sandbag_01_00
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Sandbag_01_01
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Sandbag_01_02
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Sandbag_01_03
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Sandbag_01_04
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Sandbag_02_00
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Sandbag_02_01
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Sandbag_02_03
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Hurricane_Wing_1
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | WirePost_00
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | WirePost_02
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Wire_02_0.4
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Wire_02_0.7
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Wire_02_1.0
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | WirePost_03
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Wire_03_0.4
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Wire_03_0.7
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Wire_03_1.0
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | WirePost_04
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Wire_04_0.4
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Wire_04_1.0
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Wire_05_0.7
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Wire_05_1.0
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Wire_06_1.0
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Motorcycle
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Tent_02
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Tent_04
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Flak88_Shield
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Flak88_Barrel
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | ShellCasing_03
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | ShellCasing_04
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | ShellCasing_05
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | ShellCasing_07
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | ShellCasing_09
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Stuka_Fuselage
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | ShellCasing_10
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | ShellCasing_13
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | ShellCasing_14
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | ShellCasing_16
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | ShellCasing_17
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | ShellCasing_18
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | ShellCasing_19
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | AmmoCrate_00
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | AmmoCrate_01
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | AmmoCrate_02
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | ExhaustVisual_0
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | ExhaustVisual_1
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | ExhaustVisual_2
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | PropDisc_Ju52_0
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | PropDisc_Ju52_1
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | PropDisc_Ju52_2
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Stuka_Engine
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Stuka_Spinner
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Stuka_Cockpit
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Stuka_TailFin
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Stuka_HStab
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Stuka_Wing_Inner_Port
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Stuka_Wing_Outer_Port
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Stuka_UndercLeg_Port
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Stuka_Spat_Port
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Stuka_DiveBrake_Port
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Stuka_Wing_Inner_Stbd
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Stuka_Wing_Outer_Stbd
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Stuka_UndercLeg_Stbd
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Stuka_Spat_Stbd
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Stuka_DiveBrake_Stbd
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Stuka_PropDisc
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Bf109_Fuselage
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Bf109_Engine
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Bf109_Prop
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Bf109_Wings
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Bf109_TailFin
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Bf109_HStab
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Bf109_Cockpit
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Exhaust_S1_E0
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Exhaust_S1_E2
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Exhaust_S3_E0
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Exhaust_S4_E2
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Exhaust_S6_E1
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Exhaust_S7_E0
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Exhaust_S8_E0
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | Exhaust_S8_E2
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | StukaExhaust_1
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | StukaKette_0_Ex_-1
pid=27512 > 00:00.641  render           | Fra: 103 | Mem: 0M | Synchronizing object | StukaKette_1_Ex_1
