2026-05-09T11:46:00+01:00 Task assigned to worker studiowin11 (4fcaf37b-6c2f-4959-809b-2f3ba7304111)
2026-05-09T11:46:00+01:00 task changed status queued -> active
going to run:

    'C:\Program Files\Blender Foundation\Blender 5.1\blender.exe' -b -y flamenco_attempt_1.blend --scene Scene --python-expr 'import bpy; r = bpy.context.scene.render; r.use_file_extension = True; r.use_overwrite = False; r.use_placeholder = False' --render-output 'C:/Users/Rich/Documents/BlenderFarm/flamenco_attempt_1/2026-05-09_090651/######' --render-format OPEN_EXR_MULTILAYER --render-frame 213

pid=15876 > 00:00.281  blend            | Read blend: "C:\BlenderFarm\flamenco_attempt_1.blend"
pid=15876 > 00:00.469  render           | Rendering single frame
pid=15876 > 00:00.469  render           | Rendering frame 213
pid=15876 > 00:00.469  render           | Start rendering: Scene, ViewLayer
pid=15876 > 00:00.469  render           | Engine: Cycles
pid=15876 > 00:00.625  render           | Fra: 213 | Mem: 0M | Synchronizing object | Plane
pid=15876 > Blender 5.1.1 (hash b70da489d7f4 built 2026-04-14 01:37:22)
pid=15876 > Scene switch for render: 'Scene' in file: 'C:\BlenderFarm\flamenco_attempt_1.blend'
pid=15876 > 00:00.625  render           | Fra: 213 | Mem: 0M | Synchronizing object | Plane.001
pid=15876 > 00:00.625  render           | Fra: 213 | Mem: 0M | Synchronizing object | Cylinder.001
pid=15876 > 00:00.625  render           | Fra: 213 | Mem: 0M | Synchronizing object | Cylinder.002
pid=15876 > 00:00.625  render           | Fra: 213 | Mem: 0M | Synchronizing object | Cylinder.005
pid=15876 > 00:00.640  render           | Fra: 213 | Mem: 0M | Synchronizing object | Cylinder.007
pid=15876 > 00:00.640  render           | Fra: 213 | Mem: 0M | Synchronizing object | BoeotianPlain
pid=15876 > 00:00.640  render           | Fra: 213 | Mem: 0M | Synchronizing object | AsopusRiver
pid=15876 > 00:00.640  render           | Fra: 213 | Mem: 0M | Synchronizing object | Cypress_00
pid=15876 > 00:00.640  render           | Fra: 213 | Mem: 0M | Synchronizing object | Cypress_01
pid=15876 > 00:00.640  render           | Fra: 213 | Mem: 0M | Synchronizing object | Cypress_02
pid=15876 > 00:00.640  render           | Fra: 213 | Mem: 0M | Synchronizing object | Cypress_03
pid=15876 > 00:00.640  render           | Fra: 213 | Mem: 0M | Synchronizing object | Cypress_04
pid=15876 > 00:00.640  render           | Fra: 213 | Mem: 0M | Synchronizing object | Cypress_05
pid=15876 > 00:00.640  render           | Fra: 213 | Mem: 0M | Synchronizing object | Cypress_06
pid=15876 > 00:00.640  render           | Fra: 213 | Mem: 0M | Synchronizing object | Cypress_10
pid=15876 > 00:00.640  render           | Fra: 213 | Mem: 0M | Synchronizing object | Olive_00_00
pid=15876 > 00:00.640  render           | Fra: 213 | Mem: 0M | Synchronizing object | Olive_00_02
pid=15876 > 00:00.640  render           | Fra: 213 | Mem: 0M | Synchronizing object | Olive_00_03
pid=15876 > 00:00.640  render           | Fra: 213 | Mem: 0M | Synchronizing object | Olive_00_05
