2026-05-09T12:07:30+01:00 Task assigned to worker studiowin11 (4fcaf37b-6c2f-4959-809b-2f3ba7304111)
2026-05-09T12:07:30+01:00 task changed status queued -> active
going to run:

    'C:\Program Files\Blender Foundation\Blender 5.1\blender.exe' -b -y flamenco_attempt_1.blend --scene Scene --python-expr 'import bpy; r = bpy.context.scene.render; r.use_file_extension = True; r.use_overwrite = False; r.use_placeholder = False' --render-output 'C:/Users/Rich/Documents/BlenderFarm/flamenco_attempt_1/2026-05-09_090651/######' --render-format OPEN_EXR_MULTILAYER --render-frame 237

pid=3796 > 00:00.281  blend            | Read blend: "C:\BlenderFarm\flamenco_attempt_1.blend"
pid=3796 > 00:00.469  render           | Rendering single frame
pid=3796 > 00:00.469  render           | Rendering frame 237
pid=3796 > 00:00.469  render           | Start rendering: Scene, ViewLayer
pid=3796 > 00:00.469  render           | Engine: Cycles
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Plane
pid=3796 > Blender 5.1.1 (hash b70da489d7f4 built 2026-04-14 01:37:22)
pid=3796 > Scene switch for render: 'Scene' in file: 'C:\BlenderFarm\flamenco_attempt_1.blend'
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Cube.001
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Cylinder.001
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Cylinder.003
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Cylinder.004
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Cylinder.007
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | BoeotianPlain
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | ParnithaRidge
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Cypress_00
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Cypress_01
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Cypress_02
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Cypress_03
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Cypress_04
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Cypress_05
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Cypress_06
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Cypress_09
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Olive_00_01
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Olive_00_04
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Olive_00_05
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Olive_00_07
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Olive_01_01
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Olive_01_02
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Olive_01_04
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Olive_01_06
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Olive_01_08
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Olive_02_00
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Olive_02_01
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Olive_02_02
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Olive_02_03
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Olive_02_04
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Olive_02_06
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Olive_03_01
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Olive_03_03
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Olive_03_06
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Olive_03_08
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Olive_03_10
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Olive_03_11
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Bldg_00_wall
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Bldg_00_roof
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Bldg_01_wall
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Bldg_02_wall
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Bldg_03_wall
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Bldg_03_roof
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Bldg_05_wall
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Bldg_06_roof
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Bldg_08_roof
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Bldg_09_roof
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Bldg_12_wall
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Bldg_12_roof
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Bldg_13_roof
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Bldg_14_roof
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Bldg_15_wall
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Bldg_15_roof
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Bldg_18_wall
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Bldg_18_roof
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Bldg_19_wall
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Bldg_19_roof
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Church
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | FuelDrum_00_0
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | FuelDrum_00_1
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | FuelDrum_01_0
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | FuelDrum_01_1
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | FuelDrum_03_0
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | FuelDrum_04_0
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | FuelDrum_05_0
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Sandbag_00_01
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Sandbag_00_04
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Sandbag_01_00
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Sandbag_01_01
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Sandbag_01_03
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Sandbag_02_00
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Sandbag_02_02
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Sandbag_02_04
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Hurricane_Wing_1
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Hurricane_Engine
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Hurricane_Scorch
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | WirePost_01
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Wire_01_0.4
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Wire_01_0.7
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Wire_01_1.0
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Wire_02_0.4
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | WirePost_03
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Wire_03_0.4
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Wire_04_0.4
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Wire_04_1.0
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | WirePost_05
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Wire_06_0.7
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Kubelwagen_1_body
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Kubelwagen_2_body
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | OpelBlitz_2_cab
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Motorcycle
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Trench_00
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Trench_03
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Tent_00
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Tent_01
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Tent_02
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Tent_03
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Tent_04
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Tent_05
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Flak88_Base
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | Flak88_Barrel
pid=3796 > 00:00.625  render           | Fra: 237 | Mem: 0M | Synchronizing object | ShellCasing_02
pid=3796 > 00:00.641  render           | Fra: 237 | Mem: 0M | Synchronizing object | ShellCasing_03
pid=3796 > 00:00.641  render           | Fra: 237 | Mem: 0M | Synchronizing object | ShellCasing_04
pid=3796 > 00:00.641  render           | Fra: 237 | Mem: 0M | Synchronizing object | ShellCasing_07
pid=3796 > 00:00.641  render           | Fra: 237 | Mem: 0M | Synchronizing object | ShellCasing_16
pid=3796 > 00:00.641  render           | Fra: 237 | Mem: 0M | Synchronizing object | AmmoCrate_02
pid=3796 > 00:00.641  render           | Fra: 237 | Mem: 0M | Synchronizing object | ExhaustVisual_0
