2026-05-09T09:45:46+01:00 Task assigned to worker studiowin11 (4fcaf37b-6c2f-4959-809b-2f3ba7304111)
2026-05-09T09:45:46+01:00 task changed status queued -> active
going to run:

    'C:\Program Files\Blender Foundation\Blender 5.1\blender.exe' -b -y flamenco_attempt_1.blend --scene Scene --python-expr 'import bpy; r = bpy.context.scene.render; r.use_file_extension = True; r.use_overwrite = False; r.use_placeholder = False' --render-output 'C:/Users/Rich/Documents/BlenderFarm/flamenco_attempt_1/2026-05-09_090651/######' --render-format OPEN_EXR_MULTILAYER --render-frame 60

pid=29680 > 00:00.266  blend            | Read blend: "C:\BlenderFarm\flamenco_attempt_1.blend"
pid=29680 > 00:00.469  render           | Rendering single frame
pid=29680 > 00:00.469  render           | Rendering frame 60
pid=29680 > 00:00.469  render           | Start rendering: Scene, ViewLayer
pid=29680 > 00:00.469  render           | Engine: Cycles
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Plane
pid=29680 > Blender 5.1.1 (hash b70da489d7f4 built 2026-04-14 01:37:22)
pid=29680 > Scene switch for render: 'Scene' in file: 'C:\BlenderFarm\flamenco_attempt_1.blend'
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Plane.001
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Cylinder
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Cylinder.003
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Cylinder.005
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Cylinder.007
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | BoeotianPlain
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | ParnithaRidge
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Cypress_01
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Cypress_03
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Cypress_04
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Cypress_05
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Cypress_08
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Cypress_09
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Cypress_11
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Cypress_12
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Cypress_13
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Olive_00_00
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Olive_00_01
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Olive_00_02
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Olive_00_03
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Olive_00_04
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Olive_00_05
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Olive_00_06
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Olive_00_07
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Olive_00_09
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Olive_01_01
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Olive_01_02
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Olive_01_04
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Olive_01_06
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Olive_01_11
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Olive_01_12
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Olive_01_13
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Olive_02_01
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Olive_02_03
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Olive_03_00
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Olive_03_02
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Olive_03_06
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Olive_03_08
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Bldg_00_roof
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Bldg_02_wall
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Bldg_03_wall
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Bldg_04_wall
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Bldg_04_roof
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Bldg_05_roof
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Bldg_06_wall
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Bldg_06_roof
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Bldg_07_wall
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Bldg_07_roof
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Bldg_08_wall
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Bldg_09_wall
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Bldg_09_roof
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Bldg_11_wall
pid=29680 > 00:00.641  render           | Fra: 60 | Mem: 0M | Synchronizing object | Bldg_11_roof
