2026-05-09T14:56:19+01:00 Task assigned to worker studiowin11 (4fcaf37b-6c2f-4959-809b-2f3ba7304111)
2026-05-09T14:56:19+01:00 task changed status queued -> active
going to run:

    'C:\Program Files\Blender Foundation\Blender 5.1\blender.exe' -b -y flamenco_attempt_1.blend --scene Scene --python-expr 'import bpy; r = bpy.context.scene.render; r.use_file_extension = True; r.use_overwrite = False; r.use_placeholder = False' --render-output 'C:/Users/Rich/Documents/BlenderFarm/flamenco_attempt_1/2026-05-09_090651/######' --render-format OPEN_EXR_MULTILAYER --render-frame 300

pid=10408 > 00:00.266  blend            | Read blend: "C:\BlenderFarm\flamenco_attempt_1.blend"
pid=10408 > 00:00.453  render           | Rendering single frame
pid=10408 > 00:00.453  render           | Rendering frame 300
pid=10408 > 00:00.453  render           | Start rendering: Scene, ViewLayer
pid=10408 > 00:00.453  render           | Engine: Cycles
pid=10408 > 00:00.625  render           | Fra: 300 | Mem: 0M | Synchronizing object | Plane
pid=10408 > Blender 5.1.1 (hash b70da489d7f4 built 2026-04-14 01:37:22)
pid=10408 > Scene switch for render: 'Scene' in file: 'C:\BlenderFarm\flamenco_attempt_1.blend'
pid=10408 > 00:00.625  render           | Fra: 300 | Mem: 0M | Synchronizing object | Cube.001
pid=10408 > 00:00.625  render           | Fra: 300 | Mem: 0M | Synchronizing object | Cylinder.001
pid=10408 > 00:00.625  render           | Fra: 300 | Mem: 0M | Synchronizing object | Cylinder.003
pid=10408 > 00:00.625  render           | Fra: 300 | Mem: 0M | Synchronizing object | Cylinder.005
pid=10408 > 00:00.625  render           | Fra: 300 | Mem: 0M | Synchronizing object | Cylinder.006
pid=10408 > 00:00.625  render           | Fra: 300 | Mem: 0M | Synchronizing object | Cylinder.007
pid=10408 > 00:00.625  render           | Fra: 300 | Mem: 0M | Synchronizing object | Cylinder.008
pid=10408 > 00:00.625  render           | Fra: 300 | Mem: 0M | Synchronizing object | AsopusRiver
pid=10408 > 00:00.625  render           | Fra: 300 | Mem: 0M | Synchronizing object | ParnithaRidge
pid=10408 > 00:00.625  render           | Fra: 300 | Mem: 0M | Synchronizing object | Cypress_00
pid=10408 > 00:00.625  render           | Fra: 300 | Mem: 0M | Synchronizing object | Cypress_01
pid=10408 > 00:00.625  render           | Fra: 300 | Mem: 0M | Synchronizing object | Cypress_02
pid=10408 > 00:00.625  render           | Fra: 300 | Mem: 0M | Synchronizing object | Cypress_03
pid=10408 > 00:00.625  render           | Fra: 300 | Mem: 0M | Synchronizing object | Cypress_04
pid=10408 > 00:00.625  render           | Fra: 300 | Mem: 0M | Synchronizing object | Cypress_05
pid=10408 > 00:00.625  render           | Fra: 300 | Mem: 0M | Synchronizing object | Cypress_09
pid=10408 > 00:00.625  render           | Fra: 300 | Mem: 0M | Synchronizing object | Cypress_10
pid=10408 > 00:00.625  render           | Fra: 300 | Mem: 0M | Synchronizing object | Cypress_11
pid=10408 > 00:00.625  render           | Fra: 300 | Mem: 0M | Synchronizing object | Cypress_13
pid=10408 > 00:00.625  render           | Fra: 300 | Mem: 0M | Synchronizing object | Olive_00_01
pid=10408 > 00:00.625  render           | Fra: 300 | Mem: 0M | Synchronizing object | Olive_00_04
pid=10408 > 00:00.625  render           | Fra: 300 | Mem: 0M | Synchronizing object | Olive_00_09
pid=10408 > 00:00.625  render           | Fra: 300 | Mem: 0M | Synchronizing object | Olive_01_02
pid=10408 > 00:00.625  render           | Fra: 300 | Mem: 0M | Synchronizing object | Olive_01_03
pid=10408 > 00:00.625  render           | Fra: 300 | Mem: 0M | Synchronizing object | Olive_01_07
pid=10408 > 00:00.625  render           | Fra: 300 | Mem: 0M | Synchronizing object | Olive_01_10
pid=10408 > 00:00.625  render           | Fra: 300 | Mem: 0M | Synchronizing object | Olive_01_11
pid=10408 > 00:00.625  render           | Fra: 300 | Mem: 0M | Synchronizing object | Olive_01_12
pid=10408 > 00:00.625  render           | Fra: 300 | Mem: 0M | Synchronizing object | Olive_02_02
pid=10408 > 00:00.625  render           | Fra: 300 | Mem: 0M | Synchronizing object | Olive_02_04
pid=10408 > 00:00.625  render           | Fra: 300 | Mem: 0M | Synchronizing object | Olive_03_01
pid=10408 > 00:00.625  render           | Fra: 300 | Mem: 0M | Synchronizing object | Olive_03_03
pid=10408 > 00:00.625  render           | Fra: 300 | Mem: 0M | Synchronizing object | Olive_03_04
pid=10408 > 00:00.625  render           | Fra: 300 | Mem: 0M | Synchronizing object | Olive_03_05
pid=10408 > 00:00.625  render           | Fra: 300 | Mem: 0M | Synchronizing object | Olive_03_06
pid=10408 > 00:00.625  render           | Fra: 300 | Mem: 0M | Synchronizing object | Olive_03_07
pid=10408 > 00:00.625  render           | Fra: 300 | Mem: 0M | Synchronizing object | Olive_03_11
pid=10408 > 00:00.625  render           | Fra: 300 | Mem: 0M | Synchronizing object | Bldg_00_wall
pid=10408 > 00:00.625  render           | Fra: 300 | Mem: 0M | Synchronizing object | Bldg_00_roof
