2026-05-09T10:05:24+01:00 Task assigned to worker studiowin11 (4fcaf37b-6c2f-4959-809b-2f3ba7304111)
2026-05-09T10:05:24+01:00 task changed status queued -> active
going to run:

    'C:\Program Files\Blender Foundation\Blender 5.1\blender.exe' -b -y flamenco_attempt_1.blend --scene Scene --python-expr 'import bpy; r = bpy.context.scene.render; r.use_file_extension = True; r.use_overwrite = False; r.use_placeholder = False' --render-output 'C:/Users/Rich/Documents/BlenderFarm/flamenco_attempt_1/2026-05-09_090651/######' --render-format OPEN_EXR_MULTILAYER --render-frame 89

pid=7708 > 00:00.265  blend            | Read blend: "C:\BlenderFarm\flamenco_attempt_1.blend"
pid=7708 > 00:00.453  render           | Rendering single frame
pid=7708 > 00:00.469  render           | Rendering frame 89
pid=7708 > 00:00.469  render           | Start rendering: Scene, ViewLayer
pid=7708 > 00:00.469  render           | Engine: Cycles
pid=7708 > 00:00.625  render           | Fra: 89 | Mem: 0M | Synchronizing object | Plane
pid=7708 > Blender 5.1.1 (hash b70da489d7f4 built 2026-04-14 01:37:22)
pid=7708 > Scene switch for render: 'Scene' in file: 'C:\BlenderFarm\flamenco_attempt_1.blend'
pid=7708 > 00:00.625  render           | Fra: 89 | Mem: 0M | Synchronizing object | Cube.001
pid=7708 > 00:00.625  render           | Fra: 89 | Mem: 0M | Synchronizing object | Cylinder.002
pid=7708 > 00:00.625  render           | Fra: 89 | Mem: 0M | Synchronizing object | Cylinder.004
pid=7708 > 00:00.625  render           | Fra: 89 | Mem: 0M | Synchronizing object | Cylinder.006
pid=7708 > 00:00.640  render           | Fra: 89 | Mem: 0M | Synchronizing object | Cylinder.007
pid=7708 > 00:00.640  render           | Fra: 89 | Mem: 0M | Synchronizing object | Cylinder.008
pid=7708 > 00:00.640  render           | Fra: 89 | Mem: 0M | Synchronizing object | BoeotianPlain
pid=7708 > 00:00.640  render           | Fra: 89 | Mem: 0M | Synchronizing object | AsopusRiver
pid=7708 > 00:00.640  render           | Fra: 89 | Mem: 0M | Synchronizing object | ParnithaRidge
pid=7708 > 00:00.640  render           | Fra: 89 | Mem: 0M | Synchronizing object | Cypress_00
pid=7708 > 00:00.640  render           | Fra: 89 | Mem: 0M | Synchronizing object | Cypress_01
pid=7708 > 00:00.640  render           | Fra: 89 | Mem: 0M | Synchronizing object | Cypress_03
pid=7708 > 00:00.640  render           | Fra: 89 | Mem: 0M | Synchronizing object | Cypress_04
pid=7708 > 00:00.640  render           | Fra: 89 | Mem: 0M | Synchronizing object | Cypress_07
pid=7708 > 00:00.640  render           | Fra: 89 | Mem: 0M | Synchronizing object | Cypress_11
pid=7708 > 00:00.640  render           | Fra: 89 | Mem: 0M | Synchronizing object | Cypress_13
pid=7708 > 00:00.640  render           | Fra: 89 | Mem: 0M | Synchronizing object | Olive_00_00
pid=7708 > 00:00.640  render           | Fra: 89 | Mem: 0M | Synchronizing object | Olive_00_03
pid=7708 > 00:00.640  render           | Fra: 89 | Mem: 0M | Synchronizing object | Olive_00_05
pid=7708 > 00:00.640  render           | Fra: 89 | Mem: 0M | Synchronizing object | Olive_00_06
pid=7708 > 00:00.640  render           | Fra: 89 | Mem: 0M | Synchronizing object | Olive_00_08
pid=7708 > 00:00.640  render           | Fra: 89 | Mem: 0M | Synchronizing object | Olive_01_01
pid=7708 > 00:00.640  render           | Fra: 89 | Mem: 0M | Synchronizing object | Olive_01_02
pid=7708 > 00:00.640  render           | Fra: 89 | Mem: 0M | Synchronizing object | Olive_01_08
pid=7708 > 00:00.640  render           | Fra: 89 | Mem: 0M | Synchronizing object | Olive_01_11
pid=7708 > 00:00.640  render           | Fra: 89 | Mem: 0M | Synchronizing object | Olive_01_13
pid=7708 > 00:00.640  render           | Fra: 89 | Mem: 0M | Synchronizing object | Olive_02_01
pid=7708 > 00:00.640  render           | Fra: 89 | Mem: 0M | Synchronizing object | Olive_02_03
pid=7708 > 00:00.640  render           | Fra: 89 | Mem: 0M | Synchronizing object | Olive_02_04
pid=7708 > 00:00.640  render           | Fra: 89 | Mem: 0M | Synchronizing object | Olive_02_06
pid=7708 > 00:00.640  render           | Fra: 89 | Mem: 0M | Synchronizing object | Olive_03_01
pid=7708 > 00:00.640  render           | Fra: 89 | Mem: 0M | Synchronizing object | Olive_03_02
pid=7708 > 00:00.640  render           | Fra: 89 | Mem: 0M | Synchronizing object | Olive_03_04
pid=7708 > 00:00.640  render           | Fra: 89 | Mem: 0M | Synchronizing object | Olive_03_05
pid=7708 > 00:00.640  render           | Fra: 89 | Mem: 0M | Synchronizing object | Olive_03_06
pid=7708 > 00:00.640  render           | Fra: 89 | Mem: 0M | Synchronizing object | Olive_03_08
pid=7708 > 00:00.640  render           | Fra: 89 | Mem: 0M | Synchronizing object | Olive_03_10
pid=7708 > 00:00.640  render           | Fra: 89 | Mem: 0M | Synchronizing object | Olive_03_11
pid=7708 > 00:00.640  render           | Fra: 89 | Mem: 0M | Synchronizing object | Bldg_00_wall
pid=7708 > 00:00.640  render           | Fra: 89 | Mem: 0M | Synchronizing object | Bldg_01_wall
pid=7708 > 00:00.640  render           | Fra: 89 | Mem: 0M | Synchronizing object | Bldg_01_roof
pid=7708 > 00:00.640  render           | Fra: 89 | Mem: 0M | Synchronizing object | Bldg_02_wall
pid=7708 > 00:00.640  render           | Fra: 89 | Mem: 0M | Synchronizing object | Bldg_03_wall
pid=7708 > 00:00.640  render           | Fra: 89 | Mem: 0M | Synchronizing object | Bldg_04_wall
pid=7708 > 00:00.640  render           | Fra: 89 | Mem: 0M | Synchronizing object | Bldg_04_roof
