2026-05-09T09:30:30+01:00 Task assigned to worker studiowin11 (4fcaf37b-6c2f-4959-809b-2f3ba7304111)
2026-05-09T09:30:30+01:00 task changed status queued -> active
going to run:

    'C:\Program Files\Blender Foundation\Blender 5.1\blender.exe' -b -y flamenco_attempt_1.blend --scene Scene --python-expr 'import bpy; r = bpy.context.scene.render; r.use_file_extension = True; r.use_overwrite = False; r.use_placeholder = False' --render-output 'C:/Users/Rich/Documents/BlenderFarm/flamenco_attempt_1/2026-05-09_090651/######' --render-format OPEN_EXR_MULTILAYER --render-frame 37

pid=6484 > 00:00.266  blend            | Read blend: "C:\BlenderFarm\flamenco_attempt_1.blend"
pid=6484 > 00:00.453  render           | Rendering single frame
pid=6484 > 00:00.453  render           | Rendering frame 37
pid=6484 > 00:00.453  render           | Start rendering: Scene, ViewLayer
pid=6484 > 00:00.453  render           | Engine: Cycles
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Plane
pid=6484 > Blender 5.1.1 (hash b70da489d7f4 built 2026-04-14 01:37:22)
pid=6484 > Scene switch for render: 'Scene' in file: 'C:\BlenderFarm\flamenco_attempt_1.blend'
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Cube
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Cube.001
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Cylinder.002
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Cylinder.003
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Cylinder.006
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Cylinder.007
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Cylinder.008
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | BoeotianPlain
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | AsopusRiver
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | ParnithaRidge
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Cypress_00
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Cypress_01
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Cypress_02
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Cypress_03
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Cypress_06
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Cypress_08
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Cypress_12
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Olive_00_01
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Olive_00_05
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Olive_00_09
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Olive_01_06
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Olive_01_07
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Olive_01_08
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Olive_01_12
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Olive_02_00
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Olive_02_03
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Olive_02_04
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Olive_02_05
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Olive_03_00
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Olive_03_04
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Olive_03_05
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Olive_03_06
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Olive_03_10
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Olive_03_11
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Bldg_00_wall
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Bldg_00_roof
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Bldg_02_wall
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Bldg_02_roof
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Bldg_03_wall
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Bldg_03_roof
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Bldg_04_wall
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Bldg_04_roof
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Bldg_05_wall
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Bldg_05_roof
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Bldg_06_wall
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Bldg_07_wall
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Bldg_07_roof
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Bldg_08_wall
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Bldg_08_roof
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Bldg_09_wall
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Bldg_09_roof
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Bldg_10_roof
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Bldg_11_wall
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Bldg_11_roof
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Bldg_12_wall
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Bldg_12_roof
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Bldg_14_wall
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Bldg_16_wall
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Bldg_17_wall
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Bldg_17_roof
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Bldg_18_wall
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Bldg_19_roof
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | BellTower
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | FuelDrum_00_1
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | FuelDrum_03_0
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | FuelDrum_04_0
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | FuelDrum_05_0
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | FuelDrum_07_0
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | FuelDrum_08_0
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | FuelDrum_09_0
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Sandbag_00_01
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Sandbag_00_03
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Sandbag_00_04
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Sandbag_01_00
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Sandbag_01_01
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Sandbag_02_03
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Hurricane_Wing_-1
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | WirePost_01
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Wire_01_0.4
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Wire_01_0.7
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Wire_01_1.0
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | WirePost_02
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Wire_02_0.7
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | WirePost_04
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Wire_04_0.7
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Wire_04_1.0
pid=6484 > 00:00.625  render           | Fra: 37 | Mem: 0M | Synchronizing object | Wire_05_0.7
