2026-05-09T14:27:24+01:00 Task assigned to worker studiowin11 (4fcaf37b-6c2f-4959-809b-2f3ba7304111)
2026-05-09T14:27:24+01:00 task changed status queued -> active
going to run:

    'C:\Program Files\Blender Foundation\Blender 5.1\blender.exe' -b -y flamenco_attempt_1.blend --scene Scene --python-expr 'import bpy; r = bpy.context.scene.render; r.use_file_extension = True; r.use_overwrite = False; r.use_placeholder = False' --render-output 'C:/Users/Rich/Documents/BlenderFarm/flamenco_attempt_1/2026-05-09_090651/######' --render-format OPEN_EXR_MULTILAYER --render-frame 275

pid=28312 > 00:00.266  blend            | Read blend: "C:\BlenderFarm\flamenco_attempt_1.blend"
pid=28312 > 00:00.453  render           | Rendering single frame
pid=28312 > 00:00.453  render           | Rendering frame 275
pid=28312 > 00:00.453  render           | Start rendering: Scene, ViewLayer
pid=28312 > 00:00.453  render           | Engine: Cycles
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Plane
pid=28312 > Blender 5.1.1 (hash b70da489d7f4 built 2026-04-14 01:37:22)
pid=28312 > Scene switch for render: 'Scene' in file: 'C:\BlenderFarm\flamenco_attempt_1.blend'
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Plane.001
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Cylinder.001
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Cylinder.002
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Cylinder.005
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Cylinder.007
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | BoeotianPlain
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | AsopusRiver
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | ParnithaRidge
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Cypress_00
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Cypress_02
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Cypress_03
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Cypress_11
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Olive_00_02
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Olive_00_06
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Olive_01_02
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Olive_01_03
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Olive_01_04
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Olive_01_07
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Olive_01_08
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Olive_01_09
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Olive_01_10
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Olive_01_13
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Olive_02_01
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Olive_02_02
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Olive_02_03
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Olive_02_05
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Olive_02_06
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Olive_03_01
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Olive_03_03
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Olive_03_04
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Olive_03_05
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Olive_03_07
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Olive_03_08
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Olive_03_09
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Olive_03_10
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Olive_03_11
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Bldg_00_wall
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Bldg_01_roof
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Bldg_02_roof
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Bldg_03_wall
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Bldg_04_roof
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Bldg_05_wall
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Bldg_05_roof
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Bldg_06_wall
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Bldg_06_roof
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Bldg_07_wall
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Bldg_08_wall
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Bldg_08_roof
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Bldg_10_wall
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Bldg_10_roof
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Bldg_11_wall
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Bldg_12_wall
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Bldg_12_roof
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Bldg_13_wall
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Bldg_15_wall
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Bldg_16_wall
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Bldg_17_wall
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Bldg_17_roof
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Bldg_18_roof
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Bldg_19_wall
pid=28312 > 00:00.625  render           | Fra: 275 | Mem: 0M | Synchronizing object | Bldg_19_roof
